Fund Name,Category,Subcategory,Plan,isin,scheme_code,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),YTM (%),Macaulay Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),ytm_score,duration_score,maturity_score,credit_score,total_score,fund_rating,Top Holdings Count,Fund URL
HDFC Floating Rate Debt Dir,debt,Floater,Direct,INF179K01VQ4,118961,6.16,7.89,6.89,Debt: Floater,6.04,7.85,6.77,7.64,1.85,AAA,3.7,8,7,6,9,30,Good,25,https://www.valueresearchonline.com/funds/16037/
ICICI Pru Floating Interest Dir,debt,Floater,Direct,INF109K01P57,120425,6.79,8.26,7.21,Debt: Floater,6.04,7.85,6.77,7.87,1.98,AAA,2.9,8,7,7,9,31,Good,25,https://www.valueresearchonline.com/funds/15968/
Kotak Floating Rate Dir,debt,Floater,Direct,INF174KA1EC0,147269,6.15,7.97,6.8,Debt: Floater,6.04,7.85,6.77,8.09,1.93,AAA,2.27,9,7,7,9,32,Good,25,https://www.valueresearchonline.com/funds/39904/
Nippon India Floater Dir,debt,Floater,Direct,INF204K01E05,118656,5.65,7.68,6.62,Debt: Floater,6.04,7.85,6.77,7.9,2.29,AAA,2.67,8,6,7,9,30,Good,25,https://www.valueresearchonline.com/funds/16076/
SBI Floating Rate Debt Dir,debt,Floater,Direct,INF200KA1R64,148550,6.02,7.75,6.69,Debt: Floater,6.04,7.85,6.77,7.35,2.48,AAA,6.8,6,6,4,9,25,Average,14,https://www.valueresearchonline.com/funds/41154/
Tata Floating Rate Dir,debt,Floater,Direct,INF277KA1026,149007,5.92,7.6,,Debt: Floater,6.04,7.85,,7.79,1.17,AAA,1.73,8,8,8,9,33,Good,16,https://www.valueresearchonline.com/funds/41544/
UTI Floater Dir,debt,Floater,Direct,INF789F1ACX5,145295,5.91,7.17,6.3,Debt: Floater,6.04,7.85,6.77,7.77,0.93,AAA,1.17,4,9,8,9,30,Good,25,https://www.valueresearchonline.com/funds/38032/
ABSL CRISIL Broad Based Gilt ETF,debt,Gilt,Direct,INF209KC1134,152732,3.16,,,Debt: Gilt,2.21,,,7.07,6.35,GOI/Cash,14.15,6,3,3,10,22,Average,5,https://www.valueresearchonline.com/funds/44415/
ABSL Government Securities Dir,debt,Gilt,Direct,INF209K01XP7,119605,1.26,5.84,5.43,Debt: Gilt,2.48,6.43,5.85,7.73,11.25,GOI/Cash,,8,1,1,10,20,Average,15,https://www.valueresearchonline.com/funds/15896/
Axis Gilt Dir,debt,Gilt,Direct,INF846K01DD4,120447,3.55,7.25,6.24,Debt: Gilt,2.48,6.43,5.85,7.35,8.72,GOI/Cash,19.2,7,2,2,10,21,Average,21,https://www.valueresearchonline.com/funds/15681/
