Fund Name,Category,Subcategory,Plan,isin,scheme_code,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),YTM (%),Macaulay Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),ytm_score,duration_score,maturity_score,credit_score,total_score,fund_rating,Top Holdings Count,Fund URL
Invesco India Medium Duration Dir,debt,Medium Duration,Direct,INF205KA1429,149011,4.54,7.17,,Debt: Medium Duration,6.05,7.88,,7.44,3.12,AAA,3.94,7,5,6,9,27,Average,22,https://www.valueresearchonline.com/funds/41551/
Kotak Medium Term Dir,debt,Medium Duration,Direct,INF174K01VQ5,128006,7.02,8.82,7.5,Debt: Medium Duration,6.05,7.88,7.44,8.72,2.84,AA,4.17,10,6,6,7,29,Good,25,https://www.valueresearchonline.com/funds/25271/
Nippon India Medium Duration Dir,debt,Medium Duration,Direct,INF204KA1QF1,130050,8.29,8.33,9.62,Debt: Medium Duration,6.05,7.88,7.44,8.08,3.23,AAA,4.54,9,5,6,9,29,Good,25,https://www.valueresearchonline.com/funds/26994/
Nippon India Medium Duration Seg Port 2 Direct,debt,Medium Duration,Direct,INF204KB10R1,148285,,,,,,,,,,,,,,,,,N/A,0,https://www.valueresearchonline.com/funds/40880/
Nippon India Medium Duration Seg Port1 Dir,debt,Medium Duration,Direct,INF204KB10R1,148285,,,,,,,,2.81,,B,0.07,,,,,,N/A,1,https://www.valueresearchonline.com/funds/40711/
SBI Medium Duration Dir,debt,Medium Duration,Direct,INF200K01VB0,119824,5.82,7.65,6.78,Debt: Medium Duration,6.05,7.88,7.44,8.5,3.05,AAA,4.21,9,5,6,9,29,Good,25,https://www.valueresearchonline.com/funds/17808/
Sundaram Medium Duration Dir,debt,Medium Duration,Direct,,119680,3.61,6.01,5.02,Debt: Medium Duration,6.05,7.88,7.44,7.39,3.02,AAA,3.72,7,5,6,9,27,Average,14,https://www.valueresearchonline.com/funds/16084/
Tata Medium Term Seg Port1 Direct,debt,Medium Duration,Direct,INF277K01PI5,119127,,,,,,,,,,AA,,,,,,,N/A,1,https://www.valueresearchonline.com/funds/40074/
UTI Medium Duration Dir,debt,Medium Duration,Direct,INF789FB1KE6,134503,4.65,7,6.77,Debt: Medium Duration,6.05,7.88,7.44,7.55,3.31,AAA,4.18,7,5,6,9,27,Average,15,https://www.valueresearchonline.com/funds/29994/
UTI Medium Duration Seg Port 2 Dir,debt,Medium Duration,Direct,INF789FB1KE6,134503,,,,,,,,,,Cash,,,,,,,N/A,2,https://www.valueresearchonline.com/funds/40918/
UTI Medium Duration Seg Port 3 Dir,debt,Medium Duration,Direct,INF789FB1KE6,134503,,,,,,,,,,,,,,,,,N/A,0,https://www.valueresearchonline.com/funds/41050/
UTI Medium Duration Seg Port Dir,debt,Medium Duration,Direct,INF789FB1KE6,134503,,,,,,,,,,B,0.07,,,,,,N/A,1,https://www.valueresearchonline.com/funds/40739/
ABSL Income Dir,debt,Medium to Long Duration,Direct,INF209K01WY1,119657,2.99,6.28,5.77,Debt: Medium to Long Duration,3.74,6.78,6.19,7.74,6.74,AAA,15.14,8,3,2,9,22,Average,25,https://www.valueresearchonline.com/funds/15756/
Bandhan Medium to Long Duration Dir,debt,Medium to Long Duration,Direct,INF194K01R51,118394,5.25,6.38,5.34,Debt: Medium to Long Duration,3.74,6.78,6.19,7.7,6.48,AAA,15.88,8,3,3,9,23,Average,17,https://www.valueresearchonline.com/funds/16704/
Canara Robeco Income Dir,debt,Medium to Long Duration,Direct,INF760K01FI1,118282,3.44,6.35,5.54,Debt: Medium to Long Duration,3.74,6.78,6.19,6.99,4.16,AAA,8.42,5,4,4,9,22,Average,15,https://www.valueresearchonline.com/funds/15753/
Franklin India Medium to Long Duration Dir,debt,Medium to Long Duration,Direct,INF090I01XG4,152851,4.12,,,Debt: Medium to Long Duration,3.74,,,7.76,4.23,AAA,7.13,8,4,4,9,25,Average,13,https://www.valueresearchonline.com/funds/44534/
HDFC Income Dir,debt,Medium to Long Duration,Direct,INF179K01WL3,119069,3.26,6.75,5.9,Debt: Medium to Long Duration,3.74,6.78,6.19,7.34,6.7,AAA,13.16,7,3,3,9,22,Average,25,https://www.valueresearchonline.com/funds/16066/
HSBC Medium to Long Duration Dir,debt,Medium to Long Duration,Direct,INF336L01DE2,120059,2.83,6.49,5.46,Debt: Medium to Long Duration,3.74,6.78,6.19,7.29,3.9,AAA,7.15,7,4,4,9,24,Average,15,https://www.valueresearchonline.com/funds/17390/
ICICI Pru Bond Dir,debt,Medium to Long Duration,Direct,INF109K01V83,120619,4.08,7.31,6.45,Debt: Medium to Long Duration,3.74,6.78,6.19,7.85,6.74,AAA,15.21,8,3,3,9,23,Average,25,https://www.valueresearchonline.com/funds/17100/
ICICI Pru Diversified Debt Strategy Active FoF Dir,debt,Medium to Long Duration,Direct,INF109K01X73,120702,5.25,7.41,6.53,Debt: Medium to Long Duration,3.74,6.78,6.19,,,AAA,,,,,,,N/A,4,https://www.valueresearchonline.com/funds/17928/
JM Medium to Long Duration Dir,debt,Medium to Long Duration,Direct,INF192K01CW5,120430,3.06,6.7,5.68,Debt: Medium to Long Duration,3.74,6.78,6.19,7.2,4.08,AAA,4.99,6,4,6,9,25,Average,8,https://www.valueresearchonline.com/funds/17172/
Kotak Bond Dir,debt,Medium to Long Duration,Direct,INF174K01JC0,119735,3.84,7.16,6.36,Debt: Medium to Long Duration,3.74,6.78,6.19,7.59,4.83,AAA,8.18,8,4,4,9,25,Average,25,https://www.valueresearchonline.com/funds/16749/
LIC MF Medium to Long Duration Dir,debt,Medium to Long Duration,Direct,INF767K01EW0,120279,3.63,7.28,6.21,Debt: Medium to Long Duration,3.74,6.78,6.19,7.49,5.51,AAA,10.68,6,3,3,9,21,Average,15,https://www.valueresearchonline.com/funds/16768/
Nippon India Medium to Long Duration Dir,debt,Medium to Long Duration,Direct,INF204K01XS2,118687,3.76,6.74,6.28,Debt: Medium to Long Duration,3.74,6.78,6.19,7.41,6.69,AAA,14.02,7,3,3,9,22,Average,17,https://www.valueresearchonline.com/funds/16835/
SBI Medium to Long Duration Dir,debt,Medium to Long Duration,Direct,INF200K01SR2,119714,3.98,6.97,6.35,Debt: Medium to Long Duration,3.74,6.78,6.19,7.92,4.33,AAA,8.25,8,4,4,9,25,Average,25,https://www.valueresearchonline.com/funds/16230/
UTI Medium to Long Duration Dir,debt,Medium to Long Duration,Direct,INF789F01SQ6,120689,2.92,6.27,8.55,Debt: Medium to Long Duration,3.74,6.78,6.19,8.09,4.71,AAA,7.84,8,3,4,9,24,Average,24,https://www.valueresearchonline.com/funds/15861/
UTI Medium to Long Duration Seg Port Dir,debt,Medium to Long Duration,Direct,INF789F01SQ6,120689,,,,,,,,,,B,0.07,,,,,,N/A,1,https://www.valueresearchonline.com/funds/40720/
ABSL Money Manager Dir,debt,Money Market,Direct,INF209K01UU3,119511,6.22,7.37,6.57,Debt: Money Market,6.23,7.26,6.45,7.94,0.67,AAA,0.67,8,9,9,9,35,Good,25,https://www.valueresearchonline.com/funds/15826/
Axis Money Market Dir,debt,Money Market,Direct,INF846K01Q62,147567,6.29,7.41,6.58,Debt: Money Market,6.23,7.26,6.45,7.75,0.58,AAA,0.58,6,9,9,9,33,Good,25,https://www.valueresearchonline.com/funds/40197/
Bajaj Finserv Money Market Dir,debt,Money Market,Direct,INF0QA701334,151889,6.24,,,Debt: Money Market,6.23,,,7.51,0.59,AAA,0.59,5,9,9,9,32,Good,25,https://www.valueresearchonline.com/funds/43661/
Bandhan Money Market Dir,debt,Money Market,Direct,INF194K01M80,118384,6.33,7.37,6.48,Debt: Money Market,6.23,7.26,6.45,7.75,0.64,AAA,0.64,5,9,9,9,32,Good,25,https://www.valueresearchonline.com/funds/16515/
Bank of India Money Market Dir,debt,Money Market,Direct,INF761K01GO5,153294,6.34,,,Debt: Money Market,6.23,,,7.68,0.56,AAA,0.55,6,9,9,9,33,Good,25,https://www.valueresearchonline.com/funds/44948/
Baroda BNP Paribas Money Market Dir,debt,Money Market,Direct,INF955L01ID0,147377,6.26,7.18,6.24,Debt: Money Market,6.23,7.26,6.45,7.52,0.49,AAA,0.49,7,9,9,9,34,Good,25,https://www.valueresearchonline.com/funds/40016/
DSP Savings Dir,debt,Money Market,Direct,INF740K01NU2,119106,6.26,7.18,6.29,Debt: Money Market,6.23,7.26,6.45,7.18,0.73,AAA,0.73,6,9,9,9,33,Good,25,https://www.valueresearchonline.com/funds/16459/
Edelweiss Money Market Dir,debt,Money Market,Direct,INF843K01CE1,140237,6.21,7.26,6.28,Debt: Money Market,6.23,7.26,6.45,7.68,0.62,AAA,0.58,6,9,9,9,33,Good,25,https://www.valueresearchonline.com/funds/17429/
Franklin India Money Market Dir,debt,Money Market,Direct,INF090I01GV8,118506,6.2,7.35,6.46,Debt: Money Market,6.23,7.26,6.45,7.76,0.45,AAA,0.57,6,9,9,9,33,Good,25,https://www.valueresearchonline.com/funds/16748/
Groww Money Market Dir,debt,Money Market,Direct,INF666M01MW3,153982,,,,Debt: Money Market,,,,6.98,0.33,AAA,0.34,4,10,10,9,33,Good,13,https://www.valueresearchonline.com/funds/45614/
HDFC Money Market Dir,debt,Money Market,Direct,INF179KB1HU9,119092,6.23,7.35,6.54,Debt: Money Market,6.23,7.26,6.45,7.71,0.59,AAA,0.59,8,9,9,9,35,Good,25,https://www.valueresearchonline.com/funds/16004/
HSBC Money Market Dir,debt,Money Market,Direct,INF917K01FE6,151054,6.17,7.26,6.35,Debt: Money Market,6.23,7.26,6.45,7.63,0.58,AAA,0.58,6,9,9,9,33,Good,25,https://www.valueresearchonline.com/funds/16223/
ICICI Pru Money Market Dir,debt,Money Market,Direct,INF109K01R14,120211,6.18,7.34,6.5,Debt: Money Market,6.23,7.26,6.45,7.7,0.62,AAA,0.63,6,9,9,9,33,Good,25,https://www.valueresearchonline.com/funds/15854/
Invesco India Money Market Dir,debt,Money Market,Direct,INF205K01RY9,120507,6.14,7.19,6.29,Debt: Money Market,6.23,7.26,6.45,7.58,0.59,AAA,0.59,6,9,9,9,33,Good,25,https://www.valueresearchonline.com/funds/16726/
JioBlackRock Money Market Dir,debt,Money Market,Direct,INF22M001028,153649,,,,Debt: Money Market,,,,7.41,0.66,AAA,0.66,5,9,9,9,32,Good,25,https://www.valueresearchonline.com/funds/45287/
Kotak Money Market Dir,debt,Money Market,Direct,INF174K01MW2,119746,6.23,7.34,6.52,Debt: Money Market,6.23,7.26,6.45,7.71,0.6,AAA,0.6,8,9,9,9,35,Good,25,https://www.valueresearchonline.com/funds/16350/
LIC MF Money Market Dir,debt,Money Market,Direct,INF767K01RE0,150392,6.35,6.73,,Debt: Money Market,6.23,7.26,,7.56,0.52,AAA,0.52,5,9,9,9,32,Good,25,https://www.valueresearchonline.com/funds/42409/
Mirae Asset Money Market Dir,debt,Money Market,Direct,INF769K01HN8,149112,6.16,7.36,,Debt: Money Market,6.23,7.26,,7.52,0.58,AAA,0.58,8,9,9,9,35,Good,25,https://www.valueresearchonline.com/funds/41643/
Nippon India Money Market Dir,debt,Money Market,Direct,INF204K01ZP3,118719,6.22,7.38,6.59,Debt: Money Market,6.23,7.26,6.45,7.7,0.58,AAA,0.61,8,9,9,9,35,Good,25,https://www.valueresearchonline.com/funds/16121/
PGIM India Money Market Dir,debt,Money Market,Direct,INF663L01T84,148161,6.09,7.16,6.45,Debt: Money Market,6.23,7.26,6.45,7.37,0.5,AAA,0.5,6,9,9,9,33,Good,14,https://www.valueresearchonline.com/funds/40775/
SBI Savings Dir,debt,Money Market,Direct,INF200K01SZ5,119821,6.1,7.29,6.48,Debt: Money Market,6.23,7.26,6.45,7.48,0.57,AAA,0.63,5,9,9,9,32,Good,25,https://www.valueresearchonline.com/funds/17152/
Shriram Money Market Dir,debt,Money Market,Direct,INF680P01471,154144,,,,Debt: Money Market,,,,7.65,0.62,AAA,0.62,6,9,9,9,33,Good,10,https://www.valueresearchonline.com/funds/45778/
Sundaram Money Market Dir,debt,Money Market,Direct,INF903JA1FR6,145050,6.15,7.2,6.32,Debt: Money Market,6.23,7.26,6.45,7.67,0.56,AAA,0.56,6,9,9,9,33,Good,25,https://www.valueresearchonline.com/funds/37726/
TRUSTMF Money Market Dir,debt,Money Market,Direct,INF0GCD01503,150513,6.14,7.11,,Debt: Money Market,6.23,7.26,,7.32,0.55,AAA,0.55,5,9,9,9,32,Good,18,https://www.valueresearchonline.com/funds/42422/
Tata Money Market Dir,debt,Money Market,Direct,INF277K01PR6,119424,6.36,7.5,6.68,Debt: Money Market,6.23,7.26,6.45,7.79,0.59,AAA,0.59,8,9,9,9,35,Good,25,https://www.valueresearchonline.com/funds/16711/
UTI Money Market Dir,debt,Money Market,Direct,INF192K01DS1,143597,6.2,7.35,6.55,Debt: Money Market,6.23,7.26,6.45,7.58,0.56,AAA,0.56,6,9,9,9,33,Good,25,https://www.valueresearchonline.com/funds/15971/
Union Money Market Dir,debt,Money Market,Direct,INF582M01HG5,149117,6.39,7.14,,Debt: Money Market,6.23,7.26,,6.68,0.45,AAA,0.45,4,10,10,9,33,Good,25,https://www.valueresearchonline.com/funds/41649/
ABSL US Treasury 1-3 Year Bonds ETFs Passive FoF Dir*,debt,Others,Direct,INF209KB17W5,152139,12.51,,,,,,,4.04,,D,1.92,1,1,8,1,11,Poor,1,https://www.valueresearchonline.com/funds/43824/
ABSL US Treasury 3-10 Year Bonds ETFs Passive FoF Dir*,debt,Others,Direct,INF209KB12X4,152150,12.43,,,,,,,4.22,,D,5.61,1,1,5,1,8,Poor,2,https://www.valueresearchonline.com/funds/43820/
Axis US Specific Treasury Dynamic Debt Passive FoF Dir*,debt,Others,Direct,INF846K017T9,152240,12.96,,,,,,,,,D,,,,,,,N/A,1,https://www.valueresearchonline.com/funds/43978/
Bandhan US Treasury Bond 0-1 year Specific Debt Passive FoF Dir,debt,Others,Direct,INF194KB1FV2,151548,13.27,9.45,,,,,,,,D,,,,,,,N/A,1,https://www.valueresearchonline.com/funds/43353/
DSP US Specific Debt Passive FoF Dir*,debt,Others,Direct,INF740KA1UJ6,152528,13.05,,,,,,,,,D,,,,,,,N/A,2,https://www.valueresearchonline.com/funds/44196/
360 ONE Overnight Dir,debt,Overnight,Direct,INF579M01BG4,153703,,,,Debt: Overnight,,,,5.41,0,AAA,0,1,10,10,9,30,Good,11,https://www.valueresearchonline.com/funds/45316/
ABSL CRISIL Liquid Overnight ETF,debt,Overnight,Direct,INF209KB18T9,151533,4.9,5.76,,Debt: Overnight,5.22,6.08,,,,Cash,,,,,,,N/A,0,https://www.valueresearchonline.com/funds/43247/
ABSL Overnight Dir,debt,Overnight,Direct,INF209KB1ZH2,145486,5.33,6.2,5.61,Debt: Overnight,5.31,6.17,5.59,5.5,,GOI/Cash,,1,1,1,10,13,Poor,3,https://www.valueresearchonline.com/funds/38135/
Axis Overnight Dir,debt,Overnight,Direct,INF846K01N65,146675,5.37,6.23,5.64,Debt: Overnight,5.31,6.17,5.59,5.38,0,GOI/Cash,0,1,10,10,10,31,Good,2,https://www.valueresearchonline.com/funds/39294/
Bajaj Finserv Overnight Dir,debt,Overnight,Direct,INF0QA701177,151849,5.39,,,Debt: Overnight,5.31,,,5.41,0,GOI/Cash,0,1,10,10,10,31,Good,4,https://www.valueresearchonline.com/funds/43603/
Bandhan Overnight Dir,debt,Overnight,Direct,INF194KB1447,146191,5.34,6.2,5.61,Debt: Overnight,5.31,6.17,5.59,5.36,0.01,GOI/Cash,0.01,1,10,10,10,31,Good,2,https://www.valueresearchonline.com/funds/38838/
Bank of India Overnight Dir,debt,Overnight,Direct,INF761K01EU7,147951,5.59,6.34,5.73,Debt: Overnight,5.31,6.17,5.59,5.35,0,Cash,0,1,10,10,10,31,Good,1,https://www.valueresearchonline.com/funds/40573/
Baroda BNP Paribas Overnight Dir,debt,Overnight,Direct,INF955L01HV4,147196,5.36,6.2,5.62,Debt: Overnight,5.31,6.17,5.59,5.38,0,Cash,0,1,10,10,10,31,Good,2,https://www.valueresearchonline.com/funds/39818/
Canara Robeco Overnight Dir,debt,Overnight,Direct,INF760K01JM5,147531,5.28,6.11,5.55,Debt: Overnight,5.31,6.17,5.59,5.33,0.01,GOI/Cash,0.01,1,10,10,10,31,Good,3,https://www.valueresearchonline.com/funds/40153/
DSP Overnight Dir,debt,Overnight,Direct,INF740KA1MC8,146062,5.35,6.2,5.62,Debt: Overnight,5.31,6.17,5.59,5.1,,AAA,0.01,1,1,10,9,21,Average,12,https://www.valueresearchonline.com/funds/38748/
Edelweiss Overnight Dir,debt,Overnight,Direct,INF754K01JV9,147570,5.3,6.15,5.55,Debt: Overnight,5.31,6.17,5.59,5.38,0,GOI/Cash,0,1,10,10,10,31,Good,4,https://www.valueresearchonline.com/funds/40175/
Franklin India Overnight Dir,debt,Overnight,Direct,INF090I01SS9,147214,5.39,6.18,5.58,Debt: Overnight,5.31,6.17,5.59,5.36,0.01,GOI/Cash,0.01,1,10,10,10,31,Good,3,https://www.valueresearchonline.com/funds/39884/
Groww Overnight Dir,debt,Overnight,Direct,INF666M01GL8,147450,5.25,6.13,5.48,Debt: Overnight,5.31,6.17,5.59,5.36,0,Cash,0,1,10,10,10,31,Good,0,https://www.valueresearchonline.com/funds/40037/
HDFC Overnight Dir,debt,Overnight,Direct,INF179KB1HT1,119110,5.3,6.14,5.56,Debt: Overnight,5.31,6.17,5.59,5.37,0,GOI/Cash,0,1,10,10,10,31,Good,9,https://www.valueresearchonline.com/funds/16000/
HSBC Overnight Dir,debt,Overnight,Direct,INF336L01OF6,147287,5.34,6.2,5.62,Debt: Overnight,5.31,6.17,5.59,5.33,0,GOI/Cash,0,1,10,10,10,31,Good,2,https://www.valueresearchonline.com/funds/39921/
Helios Overnight Dir,debt,Overnight,Direct,INF0R8701079,152152,5.19,,,Debt: Overnight,5.31,,,5.35,0,Cash,0,1,10,10,10,31,Good,0,https://www.valueresearchonline.com/funds/43835/
ICICI Pru Overnight Dir,debt,Overnight,Direct,INF109KC11G1,145536,5.35,6.18,5.6,Debt: Overnight,5.31,6.17,5.59,5.39,0,GOI/Cash,0,1,10,10,10,31,Good,5,https://www.valueresearchonline.com/funds/38261/
ITI Overnight Dir,debt,Overnight,Direct,INF00XX01564,147713,5.12,5.97,5.43,Debt: Overnight,5.31,6.17,5.59,5.37,0,Cash,0,1,10,10,10,31,Good,0,https://www.valueresearchonline.com/funds/40356/
Invesco India Overnight Dir,debt,Overnight,Direct,INF205KA1163,147883,5.34,6.2,5.6,Debt: Overnight,5.31,6.17,5.59,5.39,0,GOI/Cash,0.01,1,10,10,10,31,Good,3,https://www.valueresearchonline.com/funds/40514/
JM Overnight Dir,debt,Overnight,Direct,INF192K01MB8,147837,5.19,6.1,5.55,Debt: Overnight,5.31,6.17,5.59,5.36,0,Cash,0,1,10,10,10,31,Good,0,https://www.valueresearchonline.com/funds/40475/
JioBlackRock Overnight Dir,debt,Overnight,Direct,INF22M001036,153650,,,,Debt: Overnight,,,,5.4,0,GOI/Cash,0,1,10,10,10,31,Good,4,https://www.valueresearchonline.com/funds/45293/
Kotak Overnight Dir,debt,Overnight,Direct,INF174KA1BF9,146141,5.36,6.2,5.62,Debt: Overnight,5.31,6.17,5.59,5.4,0,Cash,0,1,10,10,10,31,Good,2,https://www.valueresearchonline.com/funds/38846/
LIC MF Overnight Dir,debt,Overnight,Direct,INF767K01QI3,147515,5.35,6.2,5.62,Debt: Overnight,5.31,6.17,5.59,5.39,0,GOI/Cash,0,1,10,10,10,31,Good,5,https://www.valueresearchonline.com/funds/40147/
Mahindra Manulife Overnight Dir,debt,Overnight,Direct,INF174V01838,147564,5.33,6.19,5.62,Debt: Overnight,5.31,6.17,5.59,5.39,0.01,GOI/Cash,0.01,1,10,10,10,31,Good,2,https://www.valueresearchonline.com/funds/40204/
Mirae Asset Overnight Dir,debt,Overnight,Direct,INF769K01FG6,147736,5.36,6.21,5.63,Debt: Overnight,5.31,6.17,5.59,5.37,0,CASH,0,1,10,10,10,31,Good,1,https://www.valueresearchonline.com/funds/40366/
NJ Overnight Dir,debt,Overnight,Direct,INF0J8L01081,150369,5.27,6.12,,Debt: Overnight,5.31,6.17,,5.32,0,Cash,0,1,10,10,10,31,Good,0,https://www.valueresearchonline.com/funds/42425/
Nippon India Overnight Dir,debt,Overnight,Direct,INF204KB1R31,145810,5.36,6.21,5.63,Debt: Overnight,5.31,6.17,5.59,5.39,0,AAA,0,1,10,10,9,30,Good,4,https://www.valueresearchonline.com/funds/38543/
PGIM India Overnight Dir,debt,Overnight,Direct,INF663L01T01,147606,5.23,6.15,5.59,Debt: Overnight,5.31,6.17,5.59,5.43,0,Cash,0,1,10,10,10,31,Good,1,https://www.valueresearchonline.com/funds/40236/
Quant Overnight Dir,debt,Overnight,Direct,INF966L01AZ7,151190,5.17,6.31,,Debt: Overnight,5.31,6.17,,5.13,0.01,Cash,0.01,1,10,10,10,31,Good,0,https://www.valueresearchonline.com/funds/42932/
SBI Overnight Dir,debt,Overnight,Direct,INF200K01TK5,119833,5.31,6.16,5.58,Debt: Overnight,5.31,6.17,5.59,5.24,0,GOI/Cash,0,1,10,10,10,31,Good,5,https://www.valueresearchonline.com/funds/17189/
Samco Overnight Dir,debt,Overnight,Direct,INF0K1H01040,150631,5.07,5.98,,Debt: Overnight,5.31,6.17,,5.5,0,Cash,0,1,10,10,10,31,Good,0,https://www.valueresearchonline.com/funds/42551/
Shriram Overnight Dir,debt,Overnight,Direct,INF680P01497,154394,5.32,6.13,,Debt: Overnight,5.31,6.17,,5.43,0,Cash,0,1,10,10,10,31,Good,0,https://www.valueresearchonline.com/funds/42470/
Sundaram Overnight Dir,debt,Overnight,Direct,INF903JA1HG5,146963,5.3,6.18,5.59,Debt: Overnight,5.31,6.17,5.59,5.35,,GOI/Cash,,1,10,10,10,31,Good,4,https://www.valueresearchonline.com/funds/39565/
TRUSTMF Overnight Dir,debt,Overnight,Direct,INF0GCD01453,149797,5.23,6.14,,Debt: Overnight,5.31,6.17,,5.41,0,GOI/Cash,0,1,10,10,10,31,Good,1,https://www.valueresearchonline.com/funds/42046/
Tata Overnight Dir,debt,Overnight,Direct,INF277K018T5,146980,5.38,6.23,5.62,Debt: Overnight,5.31,6.17,5.59,5.41,0.01,GOI/Cash,0.01,1,10,10,10,31,Good,4,https://www.valueresearchonline.com/funds/39638/
UTI Overnight Dir,debt,Overnight,Direct,INF789FB1S71,120785,5.35,6.2,5.61,Debt: Overnight,5.31,6.17,5.59,5.35,0.01,GOI/Cash,0.01,1,10,10,10,31,Good,7,https://www.valueresearchonline.com/funds/17630/
Union Overnight Dir,debt,Overnight,Direct,INF582M01FA2,147003,5.34,6.19,5.61,Debt: Overnight,5.31,6.17,5.59,5.37,0.01,GOI/Cash,0.01,1,10,10,10,31,Good,6,https://www.valueresearchonline.com/funds/39665/
Zerodha Overnight Dir,debt,Overnight,Direct,INF0R8F01075,153436,5.21,,,Debt: Overnight,5.31,,,,,Cash,,,,,,,N/A,1,https://www.valueresearchonline.com/funds/45081/
ABSL Retirement 50s + Debt Dir,debt,Short Duration,Direct,INF209KB1K03,146943,3.82,6.05,5.23,Debt: Short Duration,5.34,7.43,6.75,6.47,3.21,GOI/Cash,5.9,3,5,5,10,23,Average,6,https://www.valueresearchonline.com/funds/39193/
ABSL Short Term Dir,debt,Short Duration,Direct,INF209K01XK8,119498,5.71,7.71,6.91,Debt: Short Duration,5.34,7.43,6.75,7.8,2.26,AAA,2.68,8,6,7,9,30,Good,25,https://www.valueresearchonline.com/funds/15930/
Axis Short Duration Dir,debt,Short Duration,Direct,INF846K01EI1,120510,5.92,7.78,6.81,Debt: Short Duration,5.34,7.43,6.75,7.92,2.45,AAA,3.23,8,6,6,9,29,Good,25,https://www.valueresearchonline.com/funds/15752/
Bandhan Short Duration Dir,debt,Short Duration,Direct,INF194K01U07,118407,5.76,7.65,6.47,Debt: Short Duration,5.34,7.43,6.75,7.73,2.32,AAA,2.99,7,6,6,9,28,Good,25,https://www.valueresearchonline.com/funds/17074/
Bank of India Short Term Income Dir,debt,Short Duration,Direct,INF761K01736,119382,5.32,7.56,10.68,Debt: Short Duration,5.34,7.43,6.75,7.26,2.49,AAA,3.04,6,6,6,9,27,Average,25,https://www.valueresearchonline.com/funds/16977/
Baroda BNP Paribas Short Duration Dir,debt,Short Duration,Direct,INF955L01BD5,119400,5.16,7.48,6.52,Debt: Short Duration,5.34,7.43,6.75,7.81,1.97,AAA,2.35,8,7,7,9,31,Good,25,https://www.valueresearchonline.com/funds/15785/
Canara Robeco Short Duration Dir,debt,Short Duration,Direct,INF760K01DX5,118320,5.18,7.03,6,Debt: Short Duration,5.34,7.43,6.75,7.4,1.37,AAA,1.5,7,8,8,9,32,Good,16,https://www.valueresearchonline.com/funds/15780/
DSP Short Term Dir,debt,Short Duration,Direct,INF740K01NJ5,119226,5.18,7.35,6.3,Debt: Short Duration,5.34,7.43,6.75,7.63,2.69,AAA,3.29,8,6,6,9,29,Good,25,https://www.valueresearchonline.com/funds/16429/
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL SD Index Dir,debt,Short Duration,Direct,INF754K01PW4,150850,5.23,7.37,,Debt: Short Duration,5.34,7.43,,6.69,2.4,GOI/Cash,2.61,4,6,7,10,27,Average,13,https://www.valueresearchonline.com/funds/43109/
Franklin Ind ST Incm Seg Port 3 Direct,debt,Short Duration,Direct,INF090I01XB5,152737,,,,,,,,,,,,,,,,,N/A,0,https://www.valueresearchonline.com/funds/40847/
Groww Short Term Dir,debt,Short Duration,Direct,INF666M01AC0,123704,5.25,7.35,6.15,Debt: Short Duration,5.34,7.43,6.75,6.92,2.37,AAA,4.29,6,6,6,9,27,Average,15,https://www.valueresearchonline.com/funds/20851/
HDFC Short Term Debt Dir,debt,Short Duration,Direct,INF179K01YM7,119016,5.6,7.64,6.66,Debt: Short Duration,5.34,7.43,6.75,8.01,2.56,AAA,3.15,9,6,6,9,30,Good,25,https://www.valueresearchonline.com/funds/16151/
HSBC Short Duration Dir,debt,Short Duration,Direct,INF917K01IQ4,151067,5.22,7.34,6.17,Debt: Short Duration,5.34,7.43,6.75,7.83,2.24,AAA,2.54,7,6,7,9,29,Good,25,https://www.valueresearchonline.com/funds/16299/
ICICI Pru Short Term Dir,debt,Short Duration,Direct,INF109K013N3,120754,6.23,7.96,7.18,Debt: Short Duration,5.34,7.43,6.75,8.14,2.86,AAA,4.48,8,6,6,9,29,Good,25,https://www.valueresearchonline.com/funds/15866/
Invesco India Short Duration Dir,debt,Short Duration,Direct,INF205K01UH8,120560,5.29,7.38,6.25,Debt: Short Duration,5.34,7.43,6.75,7.84,2.37,AAA,2.74,8,6,6,9,29,Good,25,https://www.valueresearchonline.com/funds/16839/
JM Short Duration Dir,debt,Short Duration,Direct,INF192K01MP8,150545,5.17,7.17,,Debt: Short Duration,5.34,7.43,,7.56,1.81,AAA,1.98,7,7,7,9,30,Good,19,https://www.valueresearchonline.com/funds/42463/
JioBlackRock Short Duration Dir,debt,Short Duration,Direct,INF22M001143,154079,,,,Debt: Short Duration,,,,6.85,1.2,AAA,1.4,6,8,8,9,31,Good,9,https://www.valueresearchonline.com/funds/45726/
Kotak Bond Short Term Dir,debt,Short Duration,Direct,INF174K01JI7,119739,5.18,7.53,6.53,Debt: Short Duration,5.34,7.43,6.75,7.94,2.19,AAA,2.95,8,6,7,9,30,Good,25,https://www.valueresearchonline.com/funds/16339/
LIC MF Short Duration Dir,debt,Short Duration,Direct,INF767K01PW6,145954,5.56,7.59,6.41,Debt: Short Duration,5.34,7.43,6.75,7.66,2.39,AAA,2.61,6,6,6,9,27,Average,16,https://www.valueresearchonline.com/funds/38779/
