Fund Name,Category,Subcategory,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Std Dev,Mean Return (%),YTM (%),Macaulay Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),Top Holdings Count,Fund URL,ISIN,Scheme Code,Duration Score (3),Maturity Score (3),YTM Score (3),Credit Score (3),Debt Quality (12),Std Dev Score (3),Sharpe Score (3),Sortino Score (3),Mean Return Score (3),Risk & Return (12),Num Stocks Score (2.5),Top10 Score (2.5),Top5 Score (2.5),Top3 Sectors Score (2.5),Diversification (10),PE Score (2),PB Score (2),Valuation (4),Num Securities Score (2),Portfolio Breadth (2),Total Score (40),Risk Category,Fund Rating
DSP Aggressive Hybrid Dir,hybrid,Aggressive Hybrid,Direct,-1.15,12.77,11.04,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,,0.63,11.16,12.89,7.3,5.48,AAA,13.24,25,https://www.valueresearchonline.com/funds/15793/,INF740K01NY4,119019,1,1,2,3,7,1,1,1,1,4,1.5,2,2,1.5,7,2,1.5,3.5,1.5,1.5,23,Moderate Risk,Average
Edelweiss Aggressive Hybrid Dir,hybrid,Aggressive Hybrid,Direct,3.62,15.56,15.37,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,1.12,0.83,11.61,15.49,7.37,1.21,AAA,1.31,25,https://www.valueresearchonline.com/funds/17354/,INF754K01CE0,118624,2,3,2,3,10,1,1,1,1,4,2.5,2,2,2,8.5,1.5,1.5,3,1.5,1.5,27,Low Risk,Good
Edelweiss Nifty LargeMidcap250 Plus 8-13 Yr G-Sec 70:30 Index Dir,hybrid,Aggressive Hybrid,Direct,,,,Hybrid: Aggressive Hybrid,,,,,,,,,7.04,6.95,GOI/Cash,8.93,25,https://www.valueresearchonline.com/funds/45923/,INF754K01WR0,154310,,,,,,,,,,,,,,,,,,,,,,,
Franklin India Aggressive Hybrid Dir,hybrid,Aggressive Hybrid,Direct,-0.4,12.67,11.34,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,,0.64,10.56,12.59,8.09,2.62,AAA,3.29,25,https://www.valueresearchonline.com/funds/16020/,INF090I01FZ1,118546,2,2,2,3,9,1,1,1,1,4,2,2,2,2,8,1.5,1.5,3,1.5,1.5,25.5,Moderate Risk,Average
Groww Aggressive Hybrid Dir,hybrid,Aggressive Hybrid,Direct,0.84,10.53,10.27,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,1.1,0.41,11.44,10.58,6.33,0.53,CASH,0.54,25,https://www.valueresearchonline.com/funds/38328/,INF192K01BO4,120483,3,3,2,3,11,1,1,1,1,4,1.5,2,2,1.5,7,2,1.5,3.5,1.5,1.5,27,Low Risk,Good
HDFC Children's Dir,hybrid,Aggressive Hybrid,Direct,-0.38,10.55,12.2,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,,0.41,10.91,10.3,7.2,4.58,AAA,6.78,25,https://www.valueresearchonline.com/funds/15995/,INF179KC1IX0,119066,2,2,2,3,9,2,1,1,2,6,1.5,1,1,1,4.5,1.5,1,2.5,1.5,1.5,23.5,Moderate Risk,Average
HDFC Hybrid Equity Dir,hybrid,Aggressive Hybrid,Direct,-3.7,8.13,10.1,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,1.08,0.21,10.76,8.09,7.92,5.46,AAA,10.15,25,https://www.valueresearchonline.com/funds/16132/,INF179K01XZ1,119062,1,1,2,3,7,1,1,1,1,4,1.5,1,1,1,4.5,2,1,3,1.5,1.5,20,Moderate Risk,Average
HDFC Retirement Savings Hybrid Equity Dir,hybrid,Aggressive Hybrid,Direct,-2.42,10.23,11.2,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,,0.41,10.85,10.34,6.75,3.77,AAA,5.13,25,https://www.valueresearchonline.com/funds/31782/,INF179KB1MH6,136464,2,2,2,3,9,1,1,1,1,4,2,1,1,1,5,1.5,1,2.5,1.5,1.5,22,Moderate Risk,Average
HSBC Aggressive Hybrid Active FoF Dir*,hybrid,Aggressive Hybrid,Direct,7.15,14.3,12.49,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,1.12,0.67,12.25,14.03,,,AAA,,3,https://www.valueresearchonline.com/funds/25860/,INF336L01ID3,129200,1,1,1,3,6,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,17,Moderately High Risk,Average
HSBC Aggressive Hybrid Dir,hybrid,Aggressive Hybrid,Direct,8.03,14.73,12.43,Hybrid: Aggressive Hybrid,3.63,13.47,12.46,,1.18,0.64,13.81,14.67,7.81,1.52,AAA,1.81,25,https://www.valueresearchonline.com/funds/16264/,INF917K01LE4,151122,2,2,2,3,9,1,1,1,1,4,2,2.5,2.5,1.5,8.5,1.5,1.5,3,1.5,1.5,26,Moderate Risk,Average
