Fund Name,Category,Subcategory,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Std Dev,Mean Return (%),YTM (%),Macaulay Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),Top Holdings Count,Fund URL,ISIN,Scheme Code,Duration Score (3),Maturity Score (3),YTM Score (3),Credit Score (3),Debt Quality (12),Std Dev Score (3),Sharpe Score (3),Sortino Score (3),Mean Return Score (3),Risk & Return (12),Num Stocks Score (2.5),Top10 Score (2.5),Top5 Score (2.5),Top3 Sectors Score (2.5),Diversification (10),PE Score (2),PB Score (2),Valuation (4),Num Securities Score (2),Portfolio Breadth (2),Total Score (40),Risk Category,Fund Rating
Axis Aggressive Hybrid Reg,hybrid,Aggressive Hybrid,Regular,0.89,9.12,8,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,1.08,0.32,11.17,9.47,8.13,2.34,AA,3.03,25,https://www.valueresearchonline.com/funds/37130/,INF846K01E90,144393,2,1,3,2,8,1,1,1,1,4,2.5,2,2,2,8.5,1.5,1.5,3,1.5,1.5,25,Moderate Risk,Average
Axis Children's Reg,hybrid,Aggressive Hybrid,Regular,0.55,8.34,7.47,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,,0.24,10.9,8.53,7.5,4.27,AAA,5.35,25,https://www.valueresearchonline.com/funds/31505/,INF846K01CB0,117446,2,2,2,3,9,2,1,1,2,6,2.5,2,2,2,8.5,1.5,1.5,3,1.5,1.5,28,Low Risk,Good
Axis Retirement-Aggressive Plan Reg,hybrid,Aggressive Hybrid,Regular,-1.73,10.48,7.4,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,,0.42,12.19,11.04,7.11,6.55,AAA,11.9,25,https://www.valueresearchonline.com/funds/40427/,INF846K01T02,147823,1,1,2,3,7,1,1,1,2,5,2.5,2,2,2,8.5,1.5,1.5,3,1.5,1.5,25,Moderate Risk,Average
Bandhan Aggressive Hybrid Passive FoF Reg,hybrid,Aggressive Hybrid,Regular,9.24,13.65,11.21,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,,0.69,11.97,14.18,,,GOI/Cash,,1,https://www.valueresearchonline.com/funds/10846/,INF194K01953,112332,1,1,1,3,6,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,17,Moderately High Risk,Average
Bandhan Aggressive Hybrid Reg,hybrid,Aggressive Hybrid,Regular,7.6,14.28,12.07,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,,0.65,12.61,14.11,7.5,2.48,AAA,3.7,25,https://www.valueresearchonline.com/funds/33268/,INF194KA1U15,140381,2,2,2,3,9,1,1,1,1,4,2,2,2,2,8,1.5,1.5,3,1.5,1.5,25.5,Moderate Risk,Average
Bandhan Retirement Reg,hybrid,Aggressive Hybrid,Regular,1.16,,,Hybrid: Aggressive Hybrid,2.43,,,,,,,,7.08,8.59,GOI/Cash,20.2,25,https://www.valueresearchonline.com/funds/43789/,INF194KB1GN7,152103,1,1,2,3,7,1,1,1,1,4,2,1.5,1,2,6.5,1.5,1.5,3,1.5,1.5,22,Moderate Risk,Average
Bank of India Mid & Small Cap Eqt & Debt Reg,hybrid,Aggressive Hybrid,Regular,9.35,19.24,15.87,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,1.13,0.83,16.08,19.28,7.22,1.76,AAA,2.15,25,https://www.valueresearchonline.com/funds/32607/,INF761K01DP9,139529,2,2,2,3,9,1,2,1,3,7,2,2.5,2.5,1.5,8.5,1.5,1.5,3,1.5,1.5,29,Low Risk,Good
Baroda BNP Paribas Aggressive Hybrid Reg,hybrid,Aggressive Hybrid,Regular,1.13,11.9,10.33,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,1.07,0.56,11.18,12.1,7.63,2.17,AAA,3.5,25,https://www.valueresearchonline.com/funds/33834/,INF955L01IY6,152904,2,2,2,3,9,1,1,1,1,4,2,2,2,1.5,7.5,1.5,1.5,3,1.5,1.5,25,Moderate Risk,Average
Baroda BNP Paribas Retirement Reg,hybrid,Aggressive Hybrid,Regular,3.61,,,Hybrid: Aggressive Hybrid,2.43,,,,,,,,7.5,9.82,AAA,28.83,25,https://www.valueresearchonline.com/funds/44293/,INF251K01TH4,152625,1,1,2,3,7,1,1,1,1,4,2,2,2,1.5,7.5,1.5,1.5,3,1.5,1.5,23,Moderate Risk,Average
Canara Robeco Equity Hybrid Reg,hybrid,Aggressive Hybrid,Regular,1.78,11.32,10.15,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,1.09,0.48,11.38,11.34,7.14,1.22,AAA,2.07,25,https://www.valueresearchonline.com/funds/75/,INF760K01050,106166,2,2,2,3,9,1,1,1,1,4,2,2.5,2.5,1.5,8.5,1.5,1.5,3,1.5,1.5,26,Moderate Risk,Average
DSP Aggressive Hybrid Reg,hybrid,Aggressive Hybrid,Regular,-2.19,11.6,9.89,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,,0.54,11.15,11.84,7.3,5.48,AAA,13.24,25,https://www.valueresearchonline.com/funds/610/,INF740K01318,100081,1,1,2,3,7,1,1,1,1,4,1.5,2,2,1.5,7,2,1.5,3.5,1.5,1.5,23,Moderate Risk,Average
Edelweiss Aggressive Hybrid B,hybrid,Aggressive Hybrid,Regular,2.11,13.76,13.45,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,1.12,0.69,11.59,13.91,7.37,1.21,AAA,1.31,25,https://www.valueresearchonline.com/funds/10478/,INF754K01160,112012,,,,,,,,,,,,,,,,,,,,,,,
Edelweiss Aggressive Hybrid Reg,hybrid,Aggressive Hybrid,Regular,2.12,13.73,13.4,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,1.12,0.69,11.58,13.87,7.37,1.21,AAA,1.31,25,https://www.valueresearchonline.com/funds/10609/,INF754K01202,112108,2,3,2,3,10,1,1,1,1,4,2.5,2,2,2,8.5,1.5,1.5,3,1.5,1.5,27,Low Risk,Good
Edelweiss Nifty LargeMidcap250 Plus 8-13 Yr G-Sec 70:30 Index Reg,hybrid,Aggressive Hybrid,Regular,,,,Hybrid: Aggressive Hybrid,,,,,,,,,7.04,6.95,GOI/Cash,8.93,25,https://www.valueresearchonline.com/funds/45921/,INF754K01WV2,154312,,,,,,,,,,,,,,,,,,,,,,,
Franklin India Aggressive Hybrid Reg,hybrid,Aggressive Hybrid,Regular,-1.5,11.46,10.16,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,,0.53,10.56,11.5,8.09,2.62,AAA,3.29,25,https://www.valueresearchonline.com/funds/692/,INF582M01HC4,148591,2,2,2,3,9,1,1,1,1,4,2,2,2,2,8,1.5,1.5,3,1.5,1.5,25.5,Moderate Risk,Average
Groww Aggressive Hybrid Reg,hybrid,Aggressive Hybrid,Regular,-0.25,9.09,8.74,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,1.1,0.3,11.43,9.27,6.33,0.53,CASH,0.54,25,https://www.valueresearchonline.com/funds/38324/,INF582M01HE0,148590,3,3,2,3,11,1,1,1,1,4,1.5,2,2,1.5,7,2,1.5,3.5,1.5,1.5,27,Low Risk,Good
HDFC Children's Reg,hybrid,Aggressive Hybrid,Regular,-1.19,9.65,11.27,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,,0.33,10.9,9.47,7.2,4.58,AAA,6.78,25,https://www.valueresearchonline.com/funds/936/,INF0GCD01537,151322,2,2,2,3,9,2,1,1,2,6,1.5,1,1,1,4.5,1.5,1,2.5,1.5,1.5,23.5,Moderate Risk,Average
HDFC Hybrid Equity Reg,hybrid,Aggressive Hybrid,Regular,-4.33,7.43,9.39,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,1.08,0.15,10.76,7.44,7.92,5.46,AAA,10.15,25,https://www.valueresearchonline.com/funds/2668/,,118191,1,1,2,3,7,1,1,1,1,4,1.5,1,1,1,4.5,2,1,3,1.5,1.5,20,Moderate Risk,Average
HDFC Retirement Savings Hybrid Equity Reg,hybrid,Aggressive Hybrid,Regular,-3.51,8.98,9.89,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,,0.31,10.84,9.18,6.75,3.77,AAA,5.13,25,https://www.valueresearchonline.com/funds/31781/,INF277K01FH8,115943,2,2,2,3,9,1,1,1,1,4,2,1,1,1,5,1.5,1,2.5,1.5,1.5,22,Moderate Risk,Average
HSBC Aggressive Hybrid Active FoF Reg,hybrid,Aggressive Hybrid,Regular,5.85,13.11,11.58,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,1.12,0.58,12.25,12.99,,,AAA,,3,https://www.valueresearchonline.com/funds/25858/,INF194K01961,112331,1,1,1,3,6,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,17,Moderately High Risk,Average
HSBC Aggressive Hybrid Reg,hybrid,Aggressive Hybrid,Regular,6.92,13.54,11.28,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,1.18,0.56,13.8,13.62,7.81,1.52,AAA,1.81,25,https://www.valueresearchonline.com/funds/12056/,INF917K01LB0,151120,2,2,2,3,9,1,1,1,1,4,2,2.5,2.5,1.5,8.5,1.5,1.5,3,1.5,1.5,26,Moderate Risk,Average
ICICI Pru Aggressive Hybrid Active FoF*,hybrid,Aggressive Hybrid,Regular,-0.62,14.94,14.16,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,,0.74,12.06,14.76,,,AAA,,7,https://www.valueresearchonline.com/funds/1936/,INF109K01852,102135,,,,,,,,,,,,,,,,,,,,,,,
ICICI Pru Children's,hybrid,Aggressive Hybrid,Regular,1.99,15.22,13.53,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,1.46,0.68,14.83,15.97,,,AAA,,25,https://www.valueresearchonline.com/funds/1031/,INF109K01Y49,120579,1,1,1,3,6,1,2,2,3,8,2,2,2,1.5,7.5,1.5,1.5,3,1.5,1.5,26,Moderate Risk,Average
ICICI Pru Equity & Debt,hybrid,Aggressive Hybrid,Regular,4.03,16.13,16.84,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,1.03,0.9,10.84,15.66,7.46,3.65,AAA,7.07,25,https://www.valueresearchonline.com/funds/686/,INF109K01480,100356,2,1,2,3,8,2,2,2,3,9,2.5,2,2,2,8.5,1.5,1.5,3,2,2,30.5,Low Risk,Good
ICICI Pru Retirement Hybrid Aggressive,hybrid,Aggressive Hybrid,Regular,10.62,19.61,16.08,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,1.3,0.98,13.92,19.49,7.35,3.06,AAA,6.82,25,https://www.valueresearchonline.com/funds/39057/,INF109KC1TV6,146723,2,2,2,3,9,1,1,1,1,4,2,2.5,2.5,1.5,8.5,1.5,1,2.5,1.5,1.5,25.5,Moderate Risk,Average
Invesco India Aggressive Hybrid Reg,hybrid,Aggressive Hybrid,Regular,-5.97,11.25,9.83,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,1.17,0.43,12.6,11.26,7.51,1.2,AAA,1.33,25,https://www.valueresearchonline.com/funds/36538/,INF205K011Q3,143536,2,2,2,3,9,1,1,1,1,4,2,2,2,2,8,1.5,1.5,3,1.5,1.5,25.5,Moderate Risk,Average
JM Aggressive Hybrid Reg,hybrid,Aggressive Hybrid,Regular,-3.54,14.14,13.01,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,1.15,0.62,14.08,14.65,7.8,2.52,AAA,2.99,25,https://www.valueresearchonline.com/funds/106/,INF192K01544,100221,2,2,2,3,9,1,1,1,1,4,1.5,2,2.5,1.5,7.5,1.5,1.5,3,1.5,1.5,25,Moderate Risk,Average
Kotak Aggressive Hybrid Reg,hybrid,Aggressive Hybrid,Regular,5.06,13.42,12.19,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,,0.58,12.98,13.4,7.2,4.07,AAA,9.32,25,https://www.valueresearchonline.com/funds/707/,INF174K01E92,133036,1,1,2,3,7,1,1,1,1,4,2,2,2.5,1.5,8,1.5,1.5,3,1.5,1.5,23.5,Moderate Risk,Average
LIC MF Aggressive Hybrid Reg,hybrid,Aggressive Hybrid,Regular,-0.34,10.76,9.01,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,1.15,0.4,12.42,10.9,6.78,4.11,AAA,8.03,25,https://www.valueresearchonline.com/funds/140/,INF767K01030,100323,1,1,1,3,6,1,1,1,1,4,2,2.5,2.5,2,9,1.5,1.5,3,1.5,1.5,23.5,Moderate Risk,Average
LIC MF ULIS Reg,hybrid,Aggressive Hybrid,Regular,-2.91,8.27,8.47,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,,0.18,11.62,7.98,,,AAA,,25,https://www.valueresearchonline.com/funds/120/,INF767K01535,105823,1,1,1,3,6,2,1,1,2,6,1.5,2,2,2,7.5,1.5,1.5,3,1.5,1.5,24,Moderate Risk,Average
Mahindra Manulife Aggressive Hybrid Reg,hybrid,Aggressive Hybrid,Regular,-0.65,12.81,12.02,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,,0.59,11.65,12.76,7.68,2.88,AAA,4.92,25,https://www.valueresearchonline.com/funds/40092/,INF174V01754,147447,2,2,2,3,9,1,1,1,1,4,2,2,2,1.5,7.5,1.5,1.5,3,1.5,1.5,25,Moderate Risk,Average
Mirae Asset Aggressive Hybrid Reg,hybrid,Aggressive Hybrid,Regular,4.15,11.74,10.41,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,,0.5,11.62,11.71,7.53,2.79,AAA,4.62,25,https://www.valueresearchonline.com/funds/30602/,INF769K01DE6,134815,2,2,2,3,9,1,1,1,1,4,2,2,2,1.5,7.5,1.5,1.5,3,1.5,1.5,25,Moderate Risk,Average
Navi Aggressive Hybrid Reg,hybrid,Aggressive Hybrid,Regular,6.86,11.35,10.75,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,,0.46,12.08,11.43,6.01,0.04,AAA,0.04,25,https://www.valueresearchonline.com/funds/35937/,INF959L01DI2,143162,3,3,2,3,11,1,1,1,1,4,2,2,2,1.5,7.5,1.5,1.5,3,1.5,1.5,27,Low Risk,Good
Nippon India Aggressive Hybrid Reg,hybrid,Aggressive Hybrid,Regular,2.73,12.28,11.65,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,,0.59,10.88,12.25,8.4,3.31,AAA,4.68,25,https://www.valueresearchonline.com/funds/2791/,INF205K011Q3,143536,2,2,3,3,10,1,1,1,1,4,2,2,2.5,2,8.5,1.5,1.5,3,1.5,1.5,27,Low Risk,Good
Nippon India Aggressive Hybrid Seg Port 1 Reg,hybrid,Aggressive Hybrid,Regular,,,,,,,,,,,,,,,C,,0,https://www.valueresearchonline.com/funds/40308/,INF204KB13G8,147685,,,,,,,,,,,,,,,,,,,,,,,
Nippon India Aggressive Hybrid Seg Port 2 Reg,hybrid,Aggressive Hybrid,Regular,,,,,,,,,,,,,,,,,0,https://www.valueresearchonline.com/funds/40852/,INF205K011Q3,143536,1,3,1,1,6,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,17,Moderately High Risk,Average
PGIM India Aggressive Hybrid Equity Reg,hybrid,Aggressive Hybrid,Regular,0.87,8.68,7.42,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,1.04,0.25,10.79,8.55,6.6,,AAA,3.98,25,https://www.valueresearchonline.com/funds/2057/,INF205K011Q3,143536,1,2,2,3,8,1,1,1,1,4,1.5,1.5,1.5,2,6.5,1.5,1.5,3,1.5,1.5,23,Moderate Risk,Average
Quant Aggressive Hybrid Reg,hybrid,Aggressive Hybrid,Regular,11.87,14.55,13.84,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,,0.65,15.18,15.68,,,AAA,,10,https://www.valueresearchonline.com/funds/950/,INF966L01267,101070,1,1,1,3,6,1,1,1,1,4,1,1,1.5,1.5,5,1.5,1.5,3,1,1,19,Moderately High Risk,Average
SBI Children's Investment Plan Reg,hybrid,Aggressive Hybrid,Regular,18.11,22.05,24.03,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,,0.99,16,21.68,5.41,0.02,GOI/Cash,0.02,25,https://www.valueresearchonline.com/funds/41123/,INF200KA1Q99,148489,3,3,1,3,10,1,2,2,3,8,1.5,2,2,1.5,7,1.5,1.5,3,1.5,1.5,29.5,Low Risk,Good
SBI Equity Hybrid Reg,hybrid,Aggressive Hybrid,Regular,4.73,13.32,11.26,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,1.03,0.69,10.76,13.34,7.69,2.47,AAA,3.65,25,https://www.valueresearchonline.com/funds/204/,INF200K01107,102885,2,2,2,3,9,1,1,1,1,4,1.5,2,2,2,7.5,1.5,1.5,3,1.5,1.5,25,Moderate Risk,Average
SBI Retirement Benefit Aggressive Hybrid Reg,hybrid,Aggressive Hybrid,Regular,3.06,9.94,11.95,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,,0.36,12.02,10.21,4.29,2,GOI/Cash,2.73,25,https://www.valueresearchonline.com/funds/41273/,INF200KA1S71,148695,2,2,1,3,8,1,1,1,1,4,2,2,2,1.5,7.5,1.5,1.5,3,1.5,1.5,24,Moderate Risk,Average
Shriram Aggressive Hybrid Reg,hybrid,Aggressive Hybrid,Regular,2.38,9.66,8.22,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,,0.35,11.83,10.01,7.05,1.93,AAA,2.21,25,https://www.valueresearchonline.com/funds/22586/,INF680P01018,125713,2,2,2,3,9,1,1,1,1,4,2,2,2,2,8,2,1.5,3.5,1.5,1.5,26,Moderate Risk,Average
Sundaram Aggressive Hybrid Reg,hybrid,Aggressive Hybrid,Regular,-0.55,10.18,9.58,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,1.1,0.38,11.46,10.24,6.9,2.81,AAA,4.05,25,https://www.valueresearchonline.com/funds/714/,INF680P01026,125714,2,2,2,3,9,1,1,1,1,4,2,2,2,2,8,1.5,1.5,3,1.5,1.5,25.5,Moderate Risk,Average
Tata Aggressive Hybrid Reg,hybrid,Aggressive Hybrid,Regular,1.65,9.13,9.55,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,,0.26,11.87,8.92,7.96,3.02,AAA,5.16,25,https://www.valueresearchonline.com/funds/211/,INF277K01303,100414,2,2,2,3,9,1,1,1,1,4,1.5,2,2,1.5,7,1.5,1.5,3,1.5,1.5,24.5,Moderate Risk,Average
Tata Retirement Savings Moderate Reg,hybrid,Aggressive Hybrid,Regular,2.81,12.92,10.76,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,,0.55,13.89,13.51,,,AAA,,25,https://www.valueresearchonline.com/funds/13414/,INF277K01FH8,115943,1,1,1,3,6,1,1,1,2,5,1.5,2,2,1.5,7,1.5,1.5,3,1.5,1.5,22.5,Moderate Risk,Average
UTI Aggressive Hybrid,hybrid,Aggressive Hybrid,Regular,0.5,12.9,12.46,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,1.04,0.63,11.04,12.79,7.73,5.61,AAA,10.07,25,https://www.valueresearchonline.com/funds/284/,INF789F01323,100684,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,15,Moderately High Risk,Average
Union Aggressive Hybrid Reg,hybrid,Aggressive Hybrid,Regular,1.85,10.77,9.73,Hybrid: Aggressive Hybrid,2.43,12.16,11.16,,,0.43,11.65,10.91,7.07,3.4,AAA,4.39,25,https://www.valueresearchonline.com/funds/41184/,INF582M01HC4,148591,2,2,2,3,9,1,1,1,1,4,2,2,2.5,1.5,8,1.5,1.5,3,1.5,1.5,25.5,Moderate Risk,Average
ABSL Arbitrage Dir,hybrid,Arbitrage,Direct,6.5,7.59,6.65,Hybrid: Arbitrage,6.39,7.38,6.46,,,2.79,0.48,7.21,7.67,0.63,GOI/Cash,0.71,25,https://www.valueresearchonline.com/funds/15739/,INF209K01VP1,119526,1,1,1,1,4,3,3,3,1,10,1,1,1,1,4,1,1,2,1,1,21,Moderate Risk,Average
Axis Arbitrage Dir,hybrid,Arbitrage,Direct,6.47,7.51,6.67,Hybrid: Arbitrage,6.39,7.38,6.46,,0.62,2.64,0.48,7.14,7.02,0.66,GOI/Cash,0.66,25,https://www.valueresearchonline.com/funds/27587/,INF846K01PZ1,130773,3,3,2,3,11,3,3,3,1,10,2.5,2,2,1,7.5,1.5,1.5,3,2,2,33.5,Low Risk,Good
Bajaj Finserv Arbitrage Dir,hybrid,Arbitrage,Direct,6.38,,,Hybrid: Arbitrage,6.39,,,,0.53,,,,6.78,0.31,GOI/Cash,0.31,25,https://www.valueresearchonline.com/funds/43770/,INF0QA701524,152077,3,3,1,3,10,1,1,1,1,4,2.5,1.5,1,1,6,1.5,2,3.5,2,2,25.5,Moderate Risk,Average
Bandhan Arbitrage Dir,hybrid,Arbitrage,Direct,6.26,7.49,6.59,Hybrid: Arbitrage,6.39,7.38,6.46,,,2.54,0.49,7.12,,,GOI/Cash,,25,https://www.valueresearchonline.com/funds/17551/,INF194K01Y60,118474,1,1,1,3,6,3,3,3,1,10,2.5,2,2,1,7.5,1.5,2,3.5,2,2,29,Low Risk,Good
Bank of India Arbitrage Dir,hybrid,Arbitrage,Direct,5.93,6.91,5.66,Hybrid: Arbitrage,6.39,7.38,6.46,,,1.58,0.47,6.61,6.2,0.22,GOI/Cash,0.22,25,https://www.valueresearchonline.com/funds/36392/,INF761K01ED3,143614,3,3,1,3,10,3,3,2,1,9,1.5,1.5,2,1,6,1.5,2,3.5,1.5,1.5,30,Low Risk,Good
Baroda BNP Paribas Arbitrage Dir,hybrid,Arbitrage,Direct,6.29,7.5,6.49,Hybrid: Arbitrage,6.39,7.38,6.46,,0.55,2.57,0.5,7.14,6.73,0.24,GOI/Cash,0.25,25,https://www.valueresearchonline.com/funds/33244/,INF251K01OT0,150251,3,3,1,3,10,3,3,3,1,10,2.5,2,1.5,1,7,1.5,1.5,3,2,2,32,Low Risk,Good
Capitalmind Arbitrage Dir,hybrid,Arbitrage,Direct,,,,Hybrid: Arbitrage,,,,,,,,,6.1,0.06,GOI/Cash,0.06,25,https://www.valueresearchonline.com/funds/45859/,INF226401125,154234,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,15,Moderately High Risk,Average
DSP Arbitrage Dir,hybrid,Arbitrage,Direct,6.31,7.4,6.49,Hybrid: Arbitrage,6.39,7.38,6.46,,,2.45,0.48,7.04,,,GOI/Cash,,0,https://www.valueresearchonline.com/funds/35111/,INF740KA1DN4,142283,3,3,2,3,11,3,3,3,1,10,2.5,2,2,1,7.5,2,2,4,2,2,34.5,Very Low Risk,Good
Edelweiss Arbitrage Dir,hybrid,Arbitrage,Direct,6.44,7.6,6.74,Hybrid: Arbitrage,6.39,7.38,6.46,,,2.75,0.5,7.23,7.31,0.53,GOI/Cash,0.53,25,https://www.valueresearchonline.com/funds/27145/,INF754K01EA4,130206,3,3,2,3,11,3,3,3,1,10,2.5,2,2,1,7.5,1.5,1.5,3,2,2,33.5,Low Risk,Good
Franklin India Arbitrage Dir,hybrid,Arbitrage,Direct,6.77,,,Hybrid: Arbitrage,6.39,,,,,,,,7.67,0.64,AAA,0.67,25,https://www.valueresearchonline.com/funds/44703/,INF090I01XS9,153043,3,3,2,3,11,1,1,1,1,4,2.5,2,2,1,7.5,1.5,1.5,3,2,2,27.5,Low Risk,Good
Groww Arbitrage Dir,hybrid,Arbitrage,Direct,,,,Hybrid: Arbitrage,,,,,,,,,,,CASH,,25,https://www.valueresearchonline.com/funds/45946/,INF666M01ON8,154320,,,,,,,,,,,,,,,,,,,,,,,
HDFC Arbitrage Dir,hybrid,Arbitrage,Direct,6.44,7.47,6.51,Hybrid: Arbitrage,6.39,7.38,6.46,,,2.55,0.48,7.1,7.59,0.59,GOI/Cash,0.59,25,https://www.valueresearchonline.com/funds/26024/,INF179K01UU8,118931,3,3,1,3,10,3,3,3,1,10,2.5,2,2,1,7.5,1.5,1.5,3,2,2,32.5,Low Risk,Good
HDFC Arbitrage Direct,hybrid,Arbitrage,Direct,,,,,,,,,,,,,7.59,0.59,GOI/Cash,0.59,0,https://www.valueresearchonline.com/funds/15981/,INF179KA1KT6,129052,3,3,1,3,10,3,3,3,1,10,2.5,2,2,1,7.5,1.5,1.5,3,2,2,32.5,Low Risk,Good
HSBC Arbitrage Dir,hybrid,Arbitrage,Direct,6.34,7.39,6.45,Hybrid: Arbitrage,6.39,7.38,6.46,,0.61,2.38,0.49,7.02,7.52,0.62,GOI/Cash,0.62,25,https://www.valueresearchonline.com/funds/27300/,INF917K01QR5,151138,1,1,1,3,6,3,3,3,1,10,2.5,1.5,1.5,1,6.5,1.5,2,3.5,2,2,28,Low Risk,Good
Helios Arbitrage Dir,hybrid,Arbitrage,Direct,,,,Hybrid: Arbitrage,,,,,,,,,,,GOI/Cash,,25,https://www.valueresearchonline.com/funds/45891/,INF0R8701442,154257,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,15,Moderately High Risk,Average
ICICI Pru Equity Arbitrage Dir,hybrid,Arbitrage,Direct,6.36,7.48,6.58,Hybrid: Arbitrage,6.39,7.38,6.46,,,2.54,0.49,7.11,7.57,0.65,GOI/Cash,0.65,25,https://www.valueresearchonline.com/funds/17396/,INF109K016O4,120364,3,3,1,3,10,3,3,3,1,10,2.5,2,2,1,7.5,1.5,1.5,3,2,2,32.5,Low Risk,Good
ITI Arbitrage Dir,hybrid,Arbitrage,Direct,6.46,7.49,6,Hybrid: Arbitrage,6.39,7.38,6.46,,0.57,2.73,0.49,7.2,,,GOI/Cash,,25,https://www.valueresearchonline.com/funds/40255/,INF00XX01440,147617,1,1,1,3,6,3,3,3,1,10,1.5,1.5,1.5,2.5,7,1.5,1.5,3,1.5,1.5,27.5,Low Risk,Good
Invesco India Arbitrage Dir,hybrid,Arbitrage,Direct,6.61,7.65,6.88,Hybrid: Arbitrage,6.39,7.38,6.46,,0.6,3.06,0.46,7.28,7.06,0.47,GOI/Cash,0.49,25,https://www.valueresearchonline.com/funds/16368/,INF205K01KR8,120401,3,3,1,3,10,3,3,3,1,10,2.5,2,2,2.5,9,1.5,1.5,3,2,2,34,Very Low Risk,Good
JM Arbitrage Dir,hybrid,Arbitrage,Direct,6.16,7.15,6.19,Hybrid: Arbitrage,6.39,7.38,6.46,,0.62,1.95,0.49,6.82,5.12,0.22,GOI/Cash,0.22,25,https://www.valueresearchonline.com/funds/17142/,INF192K01BN6,120482,3,3,1,3,10,3,3,3,1,10,2.5,2,2,1,7.5,2,2,4,2,2,33.5,Low Risk,Good
JioBlackRock Arbitrage Dir,hybrid,Arbitrage,Direct,,,,Hybrid: Arbitrage,,,,,,,,,7.43,0.39,GOI/Cash,0.39,25,https://www.valueresearchonline.com/funds/45707/,INF22M001101,154076,3,3,1,3,10,1,1,1,1,4,2,1.5,1.5,1,6,2,1.5,3.5,1.5,1.5,25,Moderate Risk,Average
Kotak Arbitrage Dir,hybrid,Arbitrage,Direct,6.48,7.66,6.78,Hybrid: Arbitrage,6.39,7.38,6.46,,,2.77,0.51,7.28,7.75,0.59,GOI/Cash,0.63,25,https://www.valueresearchonline.com/funds/17136/,INF174K01LC6,119771,3,3,2,3,11,3,3,3,1,10,2.5,2,1.5,1,7,1.5,1.5,3,2,2,33,Low Risk,Good
LIC MF Arbitrage Dir,hybrid,Arbitrage,Direct,6.39,7.26,6.42,Hybrid: Arbitrage,6.39,7.38,6.46,,,2.55,0.41,6.92,,,GOI/Cash,,25,https://www.valueresearchonline.com/funds/38702/,INF767K01PP0,145895,1,1,1,3,6,3,3,3,1,10,1.5,1,1,1,4.5,1.5,1.5,3,1.5,1.5,25,Moderate Risk,Average
