Fund Name,Plan,VR ID,ISIN,Company Name,Sector,P/E Ratio,% Assets
Nippon India Nifty Auto Index Dir,Direct,44708,#N/A,Ashok Leyland,Industrials,23.96,3.77
Nippon India Nifty Auto Index Dir,Direct,44708,#N/A,Bajaj Auto,Consumer Discretionary,26.38,9.82
Nippon India Nifty Auto Index Dir,Direct,44708,#N/A,Maruti Suzuki,Consumer Discretionary,28.01,14.59
Nippon India Nifty Auto Index Dir,Direct,44708,#N/A,TVS Motor,Consumer Discretionary,52.55,6.67
Nippon India Nifty Auto Index Dir,Direct,44708,#N/A,Mahindra & Mahindra,Consumer Discretionary,21.47,23.05
SBI Automotive Opportunities Dir,Direct,44347,#N/A,Samvardhana Motherson,Consumer Discretionary,38.86,4.5
SBI Automotive Opportunities Dir,Direct,44347,#N/A,ZF Commercial,Consumer Discretionary,53.98,2.83
SBI Automotive Opportunities Dir,Direct,44347,#N/A,Tata Motors,Industrials,44.35,2.93
SBI Automotive Opportunities Dir,Direct,44347,#N/A,Sansera Eng,Consumer Discretionary,55.48,3.09
SBI Automotive Opportunities Dir,Direct,44347,#N/A,Mahindra & Mahindra,Consumer Discretionary,21.47,15
SBI Automotive Opportunities Dir,Direct,44347,#N/A,Eicher Motors,Consumer Discretionary,35.83,7.21
SBI Automotive Opportunities Dir,Direct,44347,#N/A,Maruti Suzuki,Consumer Discretionary,28.01,6.08
SBI Automotive Opportunities Dir,Direct,44347,#N/A,TVS Motor,Consumer Discretionary,52.55,5.18
SBI Automotive Opportunities Dir,Direct,44347,#N/A,Bharat Forge,Consumer Discretionary,86.38,4.54
SBI Automotive Opportunities Dir,Direct,44347,#N/A,Sona BLW Precision,Consumer Discretionary,57.21,4.46
SBI Income Plus Arbitrage Active FoF Dir,Direct,45125,#N/A,SBI Arbitrage Opportunities Direct-G,Unspecified,--,39.06
Sundaram Income Plus Arbitrage Active FoF Dir*,Direct,45755,#N/A,Tata Arbitrage Direct-G,Unspecified,--,7.08
Sundaram Income Plus Arbitrage Active FoF Dir*,Direct,45755,#N/A,Invesco India Arbitrage Direct-G,Unspecified,--,7.84
Sundaram Income Plus Arbitrage Active FoF Dir*,Direct,45755,#N/A,Sundaram Arbitrage Direct-G,Unspecified,--,23.43
Tata Income Plus Arbitrage Active FoF Dir,Direct,45157,#N/A,Tata Arbitrage Direct-G,Unspecified,--,39.65
Tata Nifty Auto Index Dir,Direct,44265,#N/A,Bharat Forge,Consumer Discretionary,86.38,4.43
Tata Nifty Auto Index Dir,Direct,44265,#N/A,Mahindra & Mahindra,Consumer Discretionary,21.47,23.12
Tata Nifty Auto Index Dir,Direct,44265,#N/A,Maruti Suzuki,Consumer Discretionary,28.01,14.63
Tata Nifty Auto Index Dir,Direct,44265,#N/A,Bajaj Auto,Consumer Discretionary,26.38,9.84
Tata Nifty Auto Index Dir,Direct,44265,#N/A,Eicher Motors,Consumer Discretionary,35.83,8.39
Tata Nifty Auto Index Dir,Direct,44265,#N/A,Tata Motors Passenger Vehicles,Consumer Discretionary,1.7,7.01
Tata Nifty Auto Index Dir,Direct,44265,#N/A,TVS Motor,Consumer Discretionary,52.55,6.69
Tata Nifty Auto Index Dir,Direct,44265,#N/A,Samvardhana Motherson,Consumer Discretionary,38.86,5.48
Tata Nifty Auto Index Dir,Direct,44265,#N/A,Hero Motocorp,Consumer Discretionary,16.92,5.41
Tata Nifty Auto Index Dir,Direct,44265,#N/A,Ashok Leyland,Industrials,23.96,3.78
UTI Income Plus Arbitrage Active FoF Dir,Direct,45085,#N/A,UTI Arbitrage Direct-G,Unspecified,--,36.43
UTI Transportation & Logistics Dir,Direct,15955,#N/A,Hero Motocorp,Consumer Discretionary,16.92,3.92
UTI Transportation & Logistics Dir,Direct,15955,#N/A,Hyundai Motor India,Consumer Discretionary,28.29,3.92
UTI Transportation & Logistics Dir,Direct,15955,#N/A,Adani Ports,Industrials,32.78,6.54
UTI Transportation & Logistics Dir,Direct,15955,#N/A,Bajaj Auto,Consumer Discretionary,26.38,6.82
UTI Transportation & Logistics Dir,Direct,15955,#N/A,Interglobe Aviation,Industrials,--,2.86
UTI Transportation & Logistics Dir,Direct,15955,#N/A,Eternal,Technology,631.76,8.62
UTI Transportation & Logistics Dir,Direct,15955,#N/A,Maruti Suzuki,Consumer Discretionary,28.01,8.79
UTI Transportation & Logistics Dir,Direct,15955,#N/A,Mahindra & Mahindra,Consumer Discretionary,21.47,12.74
UTI Transportation & Logistics Dir,Direct,15955,#N/A,TVS Motor,Consumer Discretionary,52.55,3.81
UTI Transportation & Logistics Dir,Direct,15955,#N/A,Eicher Motors,Consumer Discretionary,35.83,7.79
Union Income Plus Arbitrage Active FoF Dir,Direct,45204,#N/A,Union Arbitrage Direct-G,Unspecified,--,38.34
