Stock_Name,Symbol,ISIN,BSE_Code,Sector,Industry,Market_Cap(crores),Market_Cap_Category,Star_Rating,Quality_Score,Growth_Score,Valuation_Score,Momentum_Score,ROE,ROCE,ROA,Operating_Margin,Net_Margin,Revenue_Growth_1Y,Revenue_Growth_3Y,Revenue_Growth_5Y,Profit_Growth_1Y,Profit_Growth_3Y,Profit_Growth_5Y,EPS_Growth,PE,Industry_PE,PB,PEG,Dividend_Yield,Debt_Equity,Piotroski_Score,Return_1M,Return_6M,Return_1Y,Return_3Y,Return_5Y,Beta,Volatility,Promoter_Holding,FII_Holding,DII_Holding,VRO_URL,Revenue_Score,Profit_Score,Fund_Quality_Score,Profitability_Score,Financial_Strength_Score,Fund_Valuation_Score,Fundamental_Available_Max,Fundamental_Raw_Score,Fundamental_Data_Available,Fundamental_Score,VR_Available_Weight,VR_Raw_Weighted_Score,VR_Score,VR_Data_Available,Final_Stock_Score,Final_Rating,Confidence_Level
C.E. Info Systems Limited,MAPMYINDIA,INE0BV301023,543425,Technology,Software—Infrastructure,4595,Small Cap,,8,7,6,1,20.8,27.9,14.2,30.6,28.27,2.3,19,25.5,-8.8,7.7,44.8,-9.3,34.3,32.09,5.1,,0.4,0,5,-2.34,-45.28,-52.31,-12.08,,1.07,38.02,51.41,3.15,2.11,https://www.valueresearchonline.com/stocks/289872/ce-info-systems-ltd/,20,20,25,20,15,11,115,111,High,96.52,0.6,36.5,60.83,Medium,84.03,Excellent,High
Indian Oil Corporation Limited,IOC,INE242A01010,530965,Energy,Oil & Gas Refining & Marketing,203134,Large Cap,4,4,6,9,3,7.5,8.3,7.9,6.5,4.67,4.9,-1.8,11.6,227,62.6,14.2,209.6,4.8,5.2,0.9,0.02,5.7,0.3,5,3.17,-13.98,0.74,17.24,14.13,1.155,25.84,51.5,9.84,26.17,https://www.valueresearchonline.com/stocks/42572/indian-oil-corporation-ltd/,20,20,5,10,15,15,115,85,High,73.91,1,65.5,65.5,High,70.97,Good,High
VISA Chrome Limited,VISACHROME,INE286H01012,532721,Basic Materials,Steel,617,Small Cap,,,,,,0,-185.2,196.6,-2,186.5,-0.7,-5.1,-10.5,17.5,15.9,11.5,281.8,0.6,22.29,-3.2,0,0,0,2,-17.78,48.06,27.15,51.66,33.38,0.539,53.83,57.6,11.95,0,https://www.valueresearchonline.com/stocks/45140/visa-chrome-ltd/,5,15,5,5,15,15,115,60,High,52.17,0,0,0,None,52.17,Average,Medium
ITC Limited,ITC,INE154A01025,500875,Consumer Defensive,Tobacco,363417,Large Cap,4,10,6,7,1,29.1,37.3,22.7,28.5,23.01,10.2,5.5,11.1,6,3,9.7,-40.5,17.6,17.57,5,,5,0,5,-3.88,-0.43,-30.01,-8.99,10.53,0.562,19.4,,34.83,32.43,https://www.valueresearchonline.com/stocks/42687/itc-ltd/,20,15,25,20,15,15,115,110,High,95.65,1,72.5,72.5,High,87.55,Excellent,High
The Anup Engineering Limited,ANUP,INE294Z01018,542460,Industrials,Specialty Industrial Machinery,4592,Small Cap,2,3,5,4,6,22.6,26.7,11.6,17.8,13.38,11.5,24.3,23.1,-6.9,27.4,15.1,-7.9,41.6,40.86,6.6,,0.5,0,5,16.2,3.41,-11.16,41.97,39.56,1.617,44.24,40.92,3.18,6.36,https://www.valueresearchonline.com/stocks/243563/the-anup-engineering-ltd/,20,20,25,20,15,7,115,107,High,93.04,1,41.5,41.5,High,75,Good,High
Ester Industries Limited,ESTER,INE778B01029,500136,Basic Materials,Specialty Chemicals,940,Small Cap,1,1,3,3,3,1.9,6.5,-1.6,1.8,-1.96,-2.4,-1,1.1,-89.2,-50.4,-50.2,-89.6,,38.43,1.1,,0.3,0.5,3,-3.04,12.77,9.73,16.08,10.28,1.235,41.59,4.28,0.05,0.16,https://www.valueresearchonline.com/stocks/41975/ester-industries-ltd/,5,5,5,5,11,,100,31,High,31,1,22,22,High,27.85,Poor,High
Swiggy Limited,SWIGGY,INE00H001014,544285,Consumer Cyclical,Internet Retail,66441,Mid Cap,1,3,7,2,1,0,-33.1,-20.5,-19.3,-18.02,51.4,38.7,34.4,-33.5,4.5,3.8,92.4,,35.54,3.6,,0,0,2,-3.68,-12.69,-38.45,,,1.166,35.48,,14.59,5.22,https://www.valueresearchonline.com/stocks/353370/swiggy-ltd/,20,5,5,5,15,,100,50,High,50,1,28.5,28.5,High,42.48,Average,High
Syngene International Limited,SYNGENE,INE398R01022,539268,Healthcare,Diagnostics & Research,17604,Small Cap,3,8,6,4,1,11.2,15.4,4.6,12.5,8.48,2.6,5.4,11.3,-24.1,-8.3,-0.9,-36.2,55.6,44.62,3.6,,0.3,0,5,-5.49,9.44,-31.67,-15.65,-5.61,0.882,32.45,52.68,13.91,2.26,https://www.valueresearchonline.com/stocks/92116/syngene-international-ltd/,15,5,18,10,15,3,115,66,High,57.39,1,56,56,High,56.9,Average,High
BIL VYAPAR LIMITED,BILVYAPAR,INE071A01013,500059,Basic Materials,Specialty Chemicals,13,Small Cap,,,,,,0,0,-0.2,,,,,,98.2,26,-122.1,-100.5,,30.44,-0.1,,0,0,1,-3.04,12.77,9.73,16.08,10.28,0.474,42,47.68,0,1.73,https://www.valueresearchonline.com/stocks/41391/bil-vyapar-ltd/,,5,5,,15,,60,25,Medium,41.67,0,0,0,None,41.67,Average,Medium
Scoda Tubes Limited,SCODATUBES,INE090501011,544411,Basic Materials,Steel,860,Small Cap,2,1,3,6,4,29.7,20.4,6.8,12.9,7.51,7,35.7,,22.4,168.7,,-14.3,22.1,25.04,2.2,,0,0.1,5,5.53,15.05,-27.84,,,1.736,47.87,66.43,8.16,7.36,https://www.valueresearchonline.com/stocks/363762/scoda-tubes-ltd/,,,25,15,15,15,75,70,Medium,93.33,1,35.5,35.5,High,73.09,Good,High
