Stock_Name,Symbol,ISIN,BSE_Code,Sector,Industry,Market_Cap(crores),Market_Cap_Category,Star_Rating,Quality_Score,Growth_Score,Valuation_Score,Momentum_Score,ROE,ROCE,ROA,Operating_Margin,Net_Margin,Revenue_Growth_1Y,Revenue_Growth_3Y,Revenue_Growth_5Y,Profit_Growth_1Y,Profit_Growth_3Y,Profit_Growth_5Y,EPS_Growth,PE,Industry_PE,PB,PEG,Dividend_Yield,Debt_Equity,Piotroski_Score,Return_1M,Return_6M,Return_1Y,Return_3Y,Return_5Y,Beta,Volatility,Promoter_Holding,FII_Holding,DII_Holding,VRO_URL,Revenue_Score,Profit_Score,Fund_Quality_Score,Profitability_Score,Financial_Strength_Score,Fund_Valuation_Score,Fundamental_Available_Max,Fundamental_Raw_Score,Fundamental_Data_Available,Fundamental_Score,VR_Available_Weight,VR_Raw_Weighted_Score,VR_Score,VR_Data_Available,Final_Stock_Score,Final_Rating,Confidence_Level
Morarjee Textiles Limited,MORARJEE,INE161G01027,532621,Consumer Cyclical,Textile Manufacturing,33,Small Cap,,,,,,0,-31.6,-42.6,-133.3,-609.09,-84.1,-44.7,-37.7,-21.5,-200.3,-241,-8.6,,66.67,,,0,0,1,-7.05,21.39,7.03,-22.2,-13.56,0.383,52.51,,,,https://www.valueresearchonline.com/stocks/45772/morarjee-textiles-ltd/,5,5,5,5,15,,100,35,High,35,0,0,0,None,35,Poor,Medium
Star Health and Allied Insurance Company Limited,STARHEALTH,INE575P01011,543412,Financial Services,Insurance—Life,33934,Small Cap,,,,,,9.7,12,2.5,-2.9,3.36,12,13.8,,-13.8,-3.4,19.7,-14,60.9,21.53,4.5,,0,0.1,4,10.38,26.45,34.87,1.59,,0.479,23.45,57.98,15.06,8.37,https://www.valueresearchonline.com/stocks/289559/star-health-and-allied-insurance-company-ltd/,,20,5,5,15,7,95,52,High,54.74,0,0,0,None,54.74,Average,Medium
Stel Holdings Limited,STEL,INE577L01016,533316,Financial Services,Asset Management,1104,Small Cap,3,7,6,3,9,1,1.3,1.1,97.1,74.07,23.2,16.3,16.3,23.2,16.3,16.3,26.6,55.6,28.36,0.7,2.09,0,0,5,34.66,38.19,45.17,62.02,40.02,1.158,49.53,71.66,0.01,0.09,https://www.valueresearchonline.com/stocks/187527/stel-holdings-ltd/,20,20,5,20,15,15,115,95,High,82.61,1,60.5,60.5,High,74.87,Good,High
Lovable Lingerie Limited,LOVABLE,INE597L01014,533343,Consumer Cyclical,Apparel Manufacturing,108,Small Cap,,,,,,1,-1.9,3.8,-9.6,7.14,0,-23.8,-12.2,436.2,389.8,63.8,540.1,13.5,148.75,0.6,0.02,0,0,3,2.32,0.3,-24.53,-14.49,-9.77,1.12,39.37,63.05,0,0,https://www.valueresearchonline.com/stocks/45519/lovable-lingerie-ltd/,5,20,5,5,15,15,115,65,High,56.52,0,0,0,None,56.52,Average,Medium
Tankup Engineers Limited,TANKUP,INE0Z7N01017,,Industrials,Engineering Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Maxvolt Energy Industries Limited,MAXVOLT,INE10A501018,,Industrials,Battery & Energy Systems,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Chalet Hotels Limited,CHALET,INE427F01016,542399,Consumer Cyclical,Lodging,17928,Small Cap,,6,7,5,3,5.9,11.4,9,34.6,23.29,61.2,34.9,57.4,353,63.1,46.9,352,27.8,31.59,4.8,0.08,0.2,0.5,5,3.01,-8.38,-9.21,26.21,35.79,1.163,28.76,67.29,4.71,1.85,https://www.valueresearchonline.com/stocks/41541/chalet-hotels-ltd/,20,20,12,20,11,15,115,98,High,85.22,0.6,33,55,Medium,74.64,Good,High
Lotus Eye Hospital and Institute Limited,LOTUSEYE,INE947I01017,532998,Healthcare,Medical Care Facilities,262,Small Cap,,,,,,1.2,3.1,0.1,-0.7,0,8.4,4.5,10.7,-88.9,-72.8,-43.9,-89.1,3236.3,3236.27,4.4,,0,0.2,4,14.5,2.46,78.14,14.77,19.04,0.914,49.39,37.39,0,0,https://www.valueresearchonline.com/stocks/43101/lotus-eye-hospital-and-institute-ltd/,15,5,5,5,15,3,115,48,High,41.74,0,0,0,None,41.74,Average,Medium
Mangalore Refinery and Petrochemicals Limited,MRPL,INE103A01014,500109,Energy,Oil & Gas Refining & Marketing,27008,Small Cap,,1,6,7,6,0.4,4.4,4.9,4.5,1.83,-3.8,-5.5,15.6,3323.9,-10.2,40,3324.2,14,14.03,1.9,0,0,0.6,4,3.32,1.66,8.6,26.14,24.26,1.051,46.67,88.58,3.41,0.06,https://www.valueresearchonline.com/stocks/43208/mangalore-refinery-and-petrochemicals-ltd/,20,20,5,5,15,15,115,80,High,69.57,0.6,27.5,45.83,Medium,61.26,Good,High
Sri Lotus Developers and Realty Limited,LOTUSDEV,INE0V9Q01010,544469,Industrials,Engineering & Construction,7343,Small Cap,,5,7,7,8,41.4,37.8,20.7,36.3,30.82,39.9,75,,4.3,138.6,,-8.6,31,22.69,3.8,,0.3,0,5,8.5,-11.75,,,,1.416,41.81,81.87,1,0.78,https://www.valueresearchonline.com/stocks/367198/sri-lotus-developers-and-realty-ltd/,,,25,20,15,11,75,71,Medium,94.67,0.6,39,65,Medium,84.29,Excellent,High
Century Enka Limited,CENTENKA,INE485A01015,500280,Consumer Cyclical,Textile Manufacturing,1131,Small Cap,5,7,7,7,8,4.8,6.7,5.6,5.4,5.92,-14.8,-6.3,6.9,53.6,4.5,6,51.5,11.2,19.34,0.8,0.22,2.1,0,4,2.61,16.1,2.18,12.3,10.59,1.035,33.4,24.86,2.07,1.03,https://www.valueresearchonline.com/stocks/41532/century-enka-ltd/,10,10,5,10,15,15,115,65,High,56.52,1,83,83,High,65.79,Good,High
CIE Automotive India Limited,CIEINDIA,INE536H01010,532756,Consumer Cyclical,Auto Parts,,Small Cap,,,,,,,,,,,,,,,,,,,,,,,,0,,12.15,,,,1.02,28.55,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Studds Accessories Limited,STUDDS,INE00Q601028,544599,Consumer Cyclical,Auto Parts,1891,Small Cap,3,9,8,1,3,16.6,22.9,13.4,14.4,11.99,10.4,8.1,7.1,21.7,34.5,-1.4,21.7,22.9,30.1,3.6,1.06,0.6,0,5,7.25,-14.56,,,,0.837,34.12,61.75,1.07,1.56,https://www.valueresearchonline.com/stocks/303764/studds-accessories-ltd/,10,5,25,15,15,15,115,85,High,73.91,1,58.5,58.5,High,68.52,Good,High
Choice International Limited,CHOICEIN,INE102B01014,531358,Financial Services,Capital Markets,16149,Small Cap,1,2,4,3,4,23.8,23.1,7.7,33.9,20.57,22.8,42.4,46,43.2,56.5,69,33,74.2,25,9.9,2.25,0,0.2,5,6.96,-5.3,2.35,56.48,,1.428,31.65,53.65,11.41,0.06,https://www.valueresearchonline.com/stocks/41589/choice-international-ltd/,20,20,25,15,15,3,115,98,High,85.22,1,26.5,26.5,High,64.67,Good,High
LMW Limited,LMW,INE269B01029,500252,Industrials,Specialty Industrial Machinery,17272,Small Cap,3,6,6,3,6,3.7,5.5,3,1.5,4.08,6.5,-12.1,13.2,34,-29,17.9,27.4,132.1,132.12,6,4.82,0.2,0,5,3.35,22.84,13.86,27.04,28.83,1.446,30.64,30.8,5.54,6.9,https://www.valueresearchonline.com/stocks/43042/lmw-ltd/,15,20,5,5,15,3,115,63,High,54.78,1,55.5,55.5,High,55.03,Average,High
Rapid Fleet Management Services Limited,RAPIDFLEET,INE0QX901013,,Industrials,Fleet Management,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Life Insurance Corporation Of India,LICI,INE0J1Y01017,543526,Financial Services,Insurance—Life,535538,Large Cap,,,,,,45.8,45.9,0.9,-74.3,10.69,9.8,4.1,,18.9,16.9,77.9,18.9,9.3,663,2.9,0.49,1.2,0,4,4.15,2.03,-10.46,10.65,,1.107,23.31,96.5,0.31,0.15,,,20,25,10,15,11,95,81,High,85.26,0,0,0,None,85.26,Excellent,Medium
The State Trading Corporation of India Limited,STCINDIA,INE655A01013,512531,Industrials,Conglomerates,779,Small Cap,,,,,,0,0,28.3,,,,,,-27.6,38.5,26,1694.8,1.2,36.93,-0.2,0,0,-0.4,2,11.85,-2.72,-11.59,18.71,2.01,1.531,44.93,90,0,0.46,https://www.valueresearchonline.com/stocks/44598/the-state-trading-corporation-of-india-ltd/,,20,5,,15,15,75,55,Medium,73.33,0,0,0,None,73.33,Good,Medium
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,INE085A01013,500085,Basic Materials,Agricultural Inputs,18785,Small Cap,,9,6,8,5,20.6,27.9,14.1,11.2,9.39,24.9,-9.2,10.3,18.4,23.6,7.5,18.4,9.6,9.98,1.8,0.52,2.3,0,5,-3.04,-0.8,9.73,16.08,10.28,0.975,28.73,61.25,15.1,0.64,https://www.valueresearchonline.com/stocks/41544/chambal-fertilisers-and-chemicals-ltd/,15,10,25,15,15,15,115,95,High,82.61,0.6,44,73.33,Medium,79.36,Good,High
MPS Limited,MPSLTD,INE943D01017,532440,Communication Services,Publishing,3113,Small Cap,,10,7,6,3,31.8,43,21.2,27.1,22.53,5.7,15.3,12.7,16.9,15.6,23.6,16.3,18,35.54,5.2,1.1,0,0,5,1.92,-1.03,-31.66,19.19,26.49,0.788,42.47,68.34,1.47,1.86,https://www.valueresearchonline.com/stocks/43373/mps-ltd/,15,20,25,20,15,15,115,110,High,95.65,0.6,42.5,70.83,Medium,86.96,Excellent,High
STL Networks Limited,STLNETWORK,INE1VXE01018,544395,Communication Services,Telecom Services,1332,Small Cap,,,,,,-3.9,3.8,-7,0.1,-10.32,-18.7,,,-195.6,,,-210.2,,24.53,1.7,,0,0.4,2,9,13.5,,,,1.33,58.3,1.24,0.7,2.19,https://www.valueresearchonline.com/stocks/362739/stl-networks-ltd/,,,5,5,15,,60,25,Medium,41.67,0,0,0,None,41.67,Average,Medium
Lux Industries Limited,LUXIND,INE150G01020,539542,Consumer Cyclical,Apparel Manufacturing,3666,Small Cap,3,1,5,6,7,10,12.8,3.8,5.1,3.55,13.4,7.2,8.4,-34.7,-8.7,-16.8,-37.2,35.3,24.65,2,,0.2,0,5,-7.12,15.45,-13.56,-6.44,-19.48,1.505,44.53,74.19,0.74,4.76,https://www.valueresearchonline.com/stocks/105584/lux-industries-ltd/,10,5,12,10,15,11,115,63,High,54.78,1,49.5,49.5,High,52.93,Average,High
EMA Partners India Limited,EMAPARTNER,INE0ZOL01023,,Industrials,Human Resource Services,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Chembond Material Technologies Limited,CHEMBOND,INE995D01025,530871,Basic Materials,Specialty Chemicals,247,Small Cap,,,,,,8,9.6,6.2,4.4,5.2,24.2,-17.2,-1.9,-16.7,-18.4,-7.9,-26.6,19.2,37.22,1.5,,1.1,0,5,-3.04,18.96,9.73,16.08,10.28,1.108,49.47,68.08,0.61,0.73,https://www.valueresearchonline.com/stocks/41557/chembond-material-technologies-ltd/,5,5,5,5,15,15,115,50,High,43.48,0,0,0,None,43.48,Average,Medium
Chemcon Speciality Chemicals Limited,CHEMCON,INE03YM01018,543233,Basic Materials,Specialty Chemicals,695,Small Cap,,6,7,6,7,5,7,4.2,7.8,10,15.7,-7.5,-0.3,-3.5,-24.6,-16,-3.5,29.5,38.43,1.4,,3.4,0,5,2.69,-6.7,-1.75,-11.42,-16.21,1.233,49.72,74.47,0.38,0,https://www.valueresearchonline.com/stocks/273563/chemcon-speciality-chemicals-ltd/,5,5,5,10,15,15,115,55,High,47.83,0.6,38.5,64.17,Medium,53.55,Average,High
Allied Digital Services Limited,ADSL,INE102I01027,532875,Technology,Information Technology Services,726,Small Cap,,3,7,7,3,5.5,10.7,4.1,3.7,4.03,19.9,13.6,22,29.8,-9.8,15.4,25.5,25.2,23.96,1.2,0.99,1.2,0.1,5,4.93,-21.05,-29.21,7.63,14.97,1.788,48.25,51.07,0.42,0,https://www.valueresearchonline.com/stocks/40976/allied-digital-services-ltd/,20,20,5,5,15,15,115,80,High,69.57,0.6,30,50,Medium,62.72,Good,High
Aegis Logistics Limited,AEGISLOG,INE208C01025,500003,Energy,Oil & Gas Refining & Marketing,40030,Small Cap,4,5,7,4,9,18.5,17.7,8.6,15,10.78,23.2,-1.1,16.7,35.4,24.7,32.1,35.4,44.6,25.84,6.6,1.26,0.9,0.1,5,57.45,97.56,44.86,53.16,27.54,1.208,40.95,,19.56,0.3,https://www.valueresearchonline.com/stocks/40917/aegis-logistics-ltd/,20,20,18,15,15,7,115,95,High,82.61,1,67.5,67.5,High,77.32,Good,High
LTM Limited,LTM,INE214T01019,540005,Technology,Information Technology Services,111518,Large Cap,4,9,6,7,1,21.5,30.3,15,15.3,11.78,11.3,8.4,27.9,17.7,7.1,22.8,9.1,22.2,23.96,4.7,2.44,2,0,5,-6.12,-10.66,-29.49,-8.78,-2.11,1.074,30.57,68.52,6.63,12.68,https://www.valueresearchonline.com/stocks/106528/ltm-limited/,20,20,25,10,15,15,115,105,High,91.3,1,70.5,70.5,High,84.02,Excellent,High
Lumax Auto Technologies Limited,LUMAXTECH,INE872H01027,532796,Consumer Cyclical,Auto Parts,10543,Small Cap,,5,8,2,9,26.6,24.4,9.4,9.8,5.73,33.9,38.1,34.5,63.5,43.5,43.7,56.9,37.8,27.32,8.7,0.66,0.4,0.3,5,-4.68,-6.2,37.3,66.4,59.46,1.478,52.81,55.98,8.38,2.39,https://www.valueresearchonline.com/stocks/43107/lumax-auto-technologies-ltd/,20,20,25,10,15,11,115,101,High,87.83,0.6,34,56.67,Medium,76.92,Good,High
Readymix Construction Machinery Limited,READYMIX,INE10QL01011,,Industrials,Construction Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Larsen & Toubro Limited,LT,INE018A01030,500510,Industrials,Engineering & Construction,580551,Large Cap,3,4,7,4,6,8.6,12.6,3.2,6.3,4.09,7.8,11.6,14.5,32.5,21,28.2,-42.2,36.1,23.33,5.3,,0.9,1.1,4,3.35,22.84,13.86,27.04,28.83,1.403,24.98,,18.78,23.07,https://www.valueresearchonline.com/stocks/43056/larsen-toubro-ltd/,15,20,12,10,7,11,115,75,High,65.22,1,54.5,54.5,High,61.47,Good,High
Adani Energy Solutions Limited,ADANIENSOL,INE931S01010,539254,Utilities,Utilities—Independent Power Producers,181370,Large Cap,3,3,7,3,10,10.1,9.7,2.9,21.8,8.67,16.1,27.6,22.7,0.9,21.3,14.6,129,79.5,29.45,7.1,0.62,0,2,4,10.23,53.4,77,25.79,3.73,1.586,38.04,59.74,12.23,3.66,https://www.valueresearchonline.com/stocks/92082/adani-energy-solutions-ltd/,20,20,5,20,7,3,115,75,High,65.22,1,55,55,High,61.64,Good,High
Chennai Petroleum Corporation Limited,CHENNPETRO,INE178A01016,500110,Energy,Oil & Gas Refining & Marketing,16417,Small Cap,,6,6,8,9,2.5,4.3,16.3,5.3,3.95,10.6,-4.7,13.4,1349.4,-4.2,64.5,1349.4,5.3,14.03,1.5,0,4.9,0,5,8.42,36.52,60.72,42.91,50.2,0.433,47.13,51.89,12.59,0.53,https://www.valueresearchonline.com/stocks/41563/chennai-petroleum-corporation-ltd/,20,20,5,10,15,15,115,85,High,73.91,0.6,42,70,Medium,72.54,Good,High
Adani Enterprises Limited,ADANIENT,INE423A01024,512599,Energy,Thermal Coal,395481,Large Cap,3,2,5,4,9,15.1,13.3,4.2,7.8,9.65,2.6,-9.3,20.5,-48.9,-7.3,14,29,42.3,13.14,4.9,1.46,0,1.1,4,11.8,67.12,25.06,11.95,15.74,1.668,34.53,74.67,10.8,3.99,https://www.valueresearchonline.com/stocks/40886/adani-enterprises-ltd/,20,20,12,10,11,7,115,80,High,69.57,1,50.5,50.5,High,62.9,Good,High
MT Educare Limited,MTEDUCARE,INE472M01018,534312,Consumer Defensive,Education & Training Services,16,Small Cap,,,,,,-224.4,-4.8,-1.2,-4.1,,-28.2,-14.7,-13.6,85,24.5,13.7,89.9,,31.25,-3.2,,0,-0.7,1,,16.28,,,,0.469,50.2,59.12,0,0,https://www.valueresearchonline.com/stocks/45708/mt-educare-ltd/,5,20,5,5,15,,100,50,High,50,0,0,0,None,50,Average,Medium
Aeroflex Enterprises Limited,AEROENTER,INE065D01027,511076,Basic Materials,Steel,1554,Small Cap,,3,8,7,9,12,16,,,9.17,,,,,,,,24.2,30.9,1.6,,0.3,0,2,38.96,54.1,44.99,19.2,,1.382,48.38,,,,https://www.valueresearchonline.com/stocks/44268/aeroflex-enterprises-ltd/,,,18,,15,15,55,48,Low,87.27,0.6,37.5,62.5,Medium,78.6,Good,High
Subros Limited,SUBROS,INE287B01021,517168,Consumer Cyclical,Auto Parts,5448,Small Cap,3,7,6,4,5,14.7,20.3,8.3,5.3,4.42,11.5,10.2,15.9,14.2,53.1,29.4,10,32.9,32.28,4.4,3.29,0.4,0,5,15.08,24.57,-10.16,21.39,22.53,1.674,45.09,36.79,32.79,0,https://www.valueresearchonline.com/stocks/44636/subros-ltd/,20,20,25,10,15,11,115,101,High,87.83,1,58,58,High,77.39,Good,High
Blue Water Logistics Limited,BLUEWATER,INE0X3M01010,,Industrials,Logistics,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Archidply Decor Limited,ADL,INE0CHO01012,543231,Consumer Cyclical,Furnishings,38,Small Cap,,,,,,0.1,3.3,0,1,0,-11.7,-2.8,7.5,612.3,-59.1,15.8,-96.4,,63.73,0.7,,0,0,3,-11.57,-9,-26,-3.55,10.66,0.954,48.74,72.96,0,0,https://www.valueresearchonline.com/stocks/273561/archidply-decor-ltd/,10,20,5,5,15,,100,55,High,55,0,0,0,None,55,Average,Medium
Lokesh Machines Limited,LOKESHMACH,INE397H01017,532740,Industrials,Specialty Industrial Machinery,577,Small Cap,2,1,7,2,10,0.3,4.9,0.8,10.9,1.91,-8.7,-4.6,6.8,661.3,-26.4,-0.5,453.3,149.5,53.34,2.3,0.33,0,0.3,4,3.77,93.97,53.12,11.44,44.67,1.004,54.31,53.6,0,0,https://www.valueresearchonline.com/stocks/43095/lokesh-machines-ltd/,10,5,5,15,15,3,115,53,High,46.09,1,41.5,41.5,High,44.48,Average,High
Balaji Phosphates Limited,BALAJIPHOS,INE0PQ601019,,Basic Materials,Fertilizers & Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Steel City Securities Limited,STEELCITY,INE395H01011,,Financial Services,Capital Markets,117,Small Cap,,,,,,10.8,14.5,6.5,25.5,22.58,-4.6,4.5,3.5,-16.7,8.4,6.2,-16.7,8.2,26.4,0.8,,5.2,0.1,4,-1.07,-11.66,-28.53,5.92,7.45,0.691,24.51,74.7,0.17,0,https://www.valueresearchonline.com/stocks/202303/steel-city-securities-ltd/,5,10,12,15,15,15,115,72,High,62.61,0,0,0,None,62.61,Good,Medium
Andhra Cements Limited,ACL,INE666E01020,532141,Basic Materials,Building Materials,483,Small Cap,1,1,5,2,4,-59.6,-5.6,-6.1,-15.5,-15.16,61.5,,436,54,5.9,10.8,55.8,,29.38,6,,0,13.8,1,-3.04,-24.95,9.73,16.08,10.28,0.835,42.29,75,0,0.34,https://www.valueresearchonline.com/stocks/41027/andhra-cements-ltd/,20,15,5,5,3,,100,48,High,48,1,24.5,24.5,High,39.78,Poor,High
Stove Kraft Limited,STOVEKRAFT,INE00IN01015,543260,Consumer Cyclical,Furnishings,2592,Small Cap,3,5,8,3,9,8.5,12.7,3.5,5.2,2.61,10.9,7.8,13.4,9.1,5.5,-12.4,8.9,61.7,39.29,5.1,6.93,0.4,0,5,39.84,64.65,38.91,21.1,5.45,0.672,44.16,55.79,0.81,1.81,https://www.valueresearchonline.com/stocks/277441/stove-kraft-ltd/,15,5,12,10,15,3,115,60,High,52.17,1,59.5,59.5,High,54.74,Average,High
Shree Ram Twistex Limited,SRTL,INE19GK01015,544716,Consumer Cyclical,Textile Manufacturing,162,Small Cap,,5,7,5,,15.8,14,4.6,5.9,3.14,10.1,5.4,,22,30,,22,11.4,47.24,0.9,0.52,0,1.1,4,-7.77,,,,,1.146,43.94,34.59,3.2,11.92,https://www.valueresearchonline.com/stocks/377750/shree-ram-twistex-ltd/,,,12,10,7,15,75,44,Medium,58.67,0.5,28,56,Medium,57.74,Average,High
Virtual Galaxy Infotech Limited,VGINFOTECH,INE0VRH01015,,Technology,Software & IT Services,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Chembond Chemicals Limited,CHEMBONDCH,INE0TGX01019,544450,Basic Materials,Specialty Chemicals,573,Small Cap,,,,,,17.7,24.6,27.4,12.9,10.74,11.6,,,11.8,,,11.9,16.4,38.43,2.8,1.38,0.6,0,5,17.57,59.9,,,,1.359,60,67.98,0.66,2.05,https://www.valueresearchonline.com/stocks/363764/chembond-chemical-ltd/,,,25,15,15,15,75,70,Medium,93.33,0,0,0,None,93.33,Excellent,Medium
Motilal Oswal Financial Services Limited,MOTILALOFS,INE338I01027,532892,Financial Services,Capital Markets,56897,Mid Cap,1,1,4,3,6,15.8,12.7,4.8,40.1,19.9,12.4,30.9,20.9,14.2,30.9,20.3,-25.5,30.4,23.1,4.5,,0.6,1.7,4,11.38,10.84,9.97,77.78,36.91,1.795,38.19,67.54,7.03,1.09,https://www.valueresearchonline.com/stocks/43363/motilal-oswal-financial-services-ltd/,20,20,18,15,15,7,115,95,High,82.61,1,26.5,26.5,High,62.97,Good,High
Tejas Cargo India Limited,TEJASCARGO,INE17WC01013,,Industrials,Logistics,932,,,,,,,16.7,15.6,,,,,,,,,,,44.5,22.8,5.4,,0,0.9,2,2.63,36.84,134.94,,,,,,,,https://www.valueresearchonline.com/stocks/29037/tejas-cargo-india-ltd/#overview,,,18,,11,7,55,36,Low,65.45,0,0,0,None,65.45,Good,Medium
Lloyds Enterprises Limited,LLOYDSENT,INE080I01025,512463,Basic Materials,Steel,12,Small Cap,,,,,,-12.5,-12.5,3.4,90.4,,-3.7,-20.9,-14.5,-3.7,-20.9,-14.5,126.7,271.2,618.16,8.9,2.14,0,0,3,41,24.26,19.48,7.45,42.25,1.918,52.57,54.01,0,0,https://www.valueresearchonline.com/stocks/42029/gallops-enterprises-ltd/,5,5,5,20,15,3,115,53,High,46.09,0,0,0,None,46.09,Average,Medium
Chamunda Electrical Limited,CHAMUNDA,INE11HG01018,,Industrials,Electrical Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Motherson Sumi Wiring India Limited,MSUMI,INE0FS801015,543498,Consumer Cyclical,Auto Parts,27376,Small Cap,,6,2,5,2,35.9,48.9,14.8,7.4,5.45,23.1,17.6,,3.2,8.7,,3.2,43.8,49.56,12.7,13.69,1.4,0,5,4.03,-17.67,4.61,3.05,,1.06,31.92,33.95,9.74,2.35,https://www.valueresearchonline.com/stocks/295944/motherson-sumi-wiring-india-ltd/,,,25,10,15,7,75,57,Medium,76,0.6,24.5,40.83,Medium,63.69,Good,High
Cinevista Limited,CINEVISTA,INE039B01026,532324,Communication Services,Entertainment,90,Small Cap,,,,,,11.4,14.5,4.6,44.2,25,107.7,210.6,95.5,119.3,30.4,21.3,119.3,14.8,862.2,1.6,0.12,0,0.3,5,3.18,11.32,-20.14,10.26,5.01,0.857,47.54,67.49,0,0,https://www.valueresearchonline.com/stocks/41607/cinevista-ltd/,20,20,12,20,15,15,115,102,High,88.7,0,0,0,None,88.7,Excellent,Medium
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,INE149A01033,504973,Financial Services,Credit Services,,Small Cap,2,1,6,5,2,,,,,,,,,,,,,,,,,,,0,,-10.02,,,,1.394,36.64,,,,,,,,,15,,15,15,Low,100,1,36.5,36.5,High,77.78,Good,High
Lloyds Metals And Energy Limited,LLOYDSME,INE281B01032,512455,Basic Materials,Steel,96862,Mid Cap,,6,8,6,8,40.3,27.6,14.5,32.4,22.37,154.6,71.5,132.2,153.9,59.6,680.6,140.6,26.3,21.47,7.1,0.19,0.1,1.5,4,-0.92,30.22,12.78,,,1.382,35.9,61.64,2.26,0.05,https://www.valueresearchonline.com/stocks/43090/lloyds-metals-energy-ltd/,20,20,25,20,7,15,115,107,High,93.04,0.6,41,68.33,Medium,84.39,Excellent,High
Grand Continent Hotels Limited,GCHOTELS,INE12E301017,,Consumer Cyclical,Hotels & Hospitality,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
P S Raj Steels Limited,PSRAJ,INE0XUS01012,,Basic Materials,Steel Products,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,None,0,0,0,0,None,0,Insufficient Data,Insufficient
Capri Global Capital Limited,CGCL,INE180C01042,531595,Financial Services,Credit Services,20922,Small Cap,,3,6,6,8,11.9,11.2,3.5,62.9,20.06,45.7,47.8,45.4,52,47.7,46.8,70.1,22,25.12,2.9,0.31,0.1,0,5,14.05,30.86,23.18,5.83,11.74,1.109,31.9,59.92,5.62,12.92,https://www.valueresearchonline.com/stocks/43341/capri-global-capital-ltd/,20,20,12,15,15,11,115,93,High,80.87,0.6,32,53.33,Medium,71.23,Good,High
LIC Housing Finance Limited,LICHSGFIN,INE115A01026,500253,Financial Services,Mortgage Finance,30242,Small Cap,,10,7,8,5,16,8.9,1.8,93.1,19.42,2.6,29.3,13.4,5.9,74,57.4,3,5.4,14.08,0.7,1.8,1.8,0,5,5.5,0.6,-0.4,11.02,10.19,1.107,24.92,45.24,21.39,3.17,https://www.valueresearchonline.com/stocks/43024/lic-housing-finance-ltd/,15,20,18,15,15,15,115,98,High,85.22,0.6,47.5,79.17,Medium,83.1,Excellent,High
Saraswati Saree Depot Limited,SSDL,INE0PQ101010,544230,Consumer Cyclical,Apparel Retail,226,Small Cap,,,,,,26.3,30.9,8.1,4.2,3.65,2.9,3.7,,-23.9,35.4,,-26.3,9.7,169.13,1.2,,0,0,5,-6.54,-27.35,-41.02,,,1.176,34.18,74.98,0.02,0,https://www.valueresearchonline.com/stocks/339027/saraswati-saree-depot-ltd/,,,25,5,15,15,75,60,Medium,80,0,0,0,None,80,Excellent,Medium
L&T Finance Limited,LTF,INE498L01015,533519,Financial Services,Credit Services,74890,Mid Cap,3,7,7,2,8,11.2,8.5,2.3,48.4,16.65,12.7,35.1,11.3,13.1,96.4,27.7,12.4,25.1,25.07,2.7,2.02,0.9,3.9,4,10.68,6.04,49.46,36.33,25.96,1.704,33.73,65.99,7.63,3.36,https://www.valueresearchonline.com/stocks/45631/lt-finance-ltd/,15,20,12,15,15,11,115,88,High,76.52,1,59.5,59.5,High,70.56,Good,High
