Sr. No.,Company name,ISIN,BSE Symbol, BSE 6 month Avg Total Market Cap in (Rs. Crs.) ,NSE Symbol, NSE 6 month Avg Total Market Cap (Rs. Crs.) ,MSEI Symbol, MSEI 6 month Avg Total Market Cap in (Rs Crs.) ,Average of All Exchanges (Rs. Cr.),"Categorization as per SEBI Circular dated Oct 6, 2017"
1,Reliance Industries Ltd,INE002A01018,RELIANCE,"  1,970,806.49 ",RELIANCE,"  1,970,787.69 ",-, - ,"  1,970,797.09 ",Large Cap
2,HDFC Bank Ltd.,INE040A01034,HDFCBANK,"  1,516,760.98 ",HDFCBANK,"  1,515,580.90 ",-, - ,"  1,516,170.94 ",Large Cap
3,Bharti Airtel  Ltd.,INE397D01024,BHARTIARTL,"  1,195,614.68 ",BHARTIARTL,"  1,195,675.69 ",-, - ,"  1,195,645.18 ",Large Cap
4,Tata Consultancy Services Ltd.,INE467B01029,TCS,"  1,129,582.00 ",TCS,"  1,129,555.15 ",-, - ,"  1,129,568.57 ",Large Cap
5,ICICI Bank Ltd.,INE090A01021,ICICIBANK,"  999,123.08 ",ICICIBANK,"  998,630.64 ",-, - ,"  998,876.86 ",Large Cap
6,State Bank Of India,INE062A01020,SBIN,"  809,938.33 ",SBIN,"  800,557.85 ",-, - ,"  805,248.09 ",Large Cap
7,Infosys Ltd,INE009A01021,INFY,"  635,239.14 ",INFY,"  635,103.55 ",-, - ,"  635,171.35 ",Large Cap
8,Bajaj Finance Limited,INE296A01032,BAJFINANCE,"  608,134.07 ",BAJFINANCE,"  607,992.94 ",-, - ,"  608,063.50 ",Large Cap
9,Life Insurance Corporation of India,INE0J1Y01017,LICI,"  565,211.08 ",LICI,"  565,259.02 ",-, - ,"  565,235.05 ",Large Cap
10,Hindustan Unilever Ltd.,INE030A01027,HINDUNILVR,"  538,817.41 ",HINDUNILVR,"  538,863.09 ",-, - ,"  538,840.25 ",Large Cap
11,Larsen & Toubro Limited,INE018A01030,LT,"  518,705.11 ",LT,"  518,763.28 ",-, - ,"  518,734.19 ",Large Cap
12,ITC Ltd,INE154A01025,ITC,"  511,810.19 ",ITC,"  511,626.19 ",-, - ,"  511,718.19 ",Large Cap
13,Maruti Suzuki India  Ltd.,INE585B01010,MARUTI,"  470,436.83 ",MARUTI,"  470,458.29 ",-, - ,"  470,447.56 ",Large Cap
14,Mahindra & Mahindra Ltd.,INE101A01026,M&M,"  431,855.41 ",M&M,"  431,885.95 ",-, - ,"  431,870.68 ",Large Cap
15,HCL Technologies Ltd,INE860A01027,HCLTECH,"  418,792.29 ",HCLTECH,"  418,769.14 ",-, - ,"  418,780.71 ",Large Cap
16,Kotak Mahindra Bank Ltd.,INE237A01028,KOTAKBANK,"  415,421.99 ",KOTAKBANK,"  415,412.27 ",-, - ,"  415,417.13 ",Large Cap
17,Sun Pharmaceutical Industries Ltd.,INE044A01036,SUNPHARMA,"  404,420.99 ",SUNPHARMA,"  404,406.96 ",-, - ,"  404,413.97 ",Large Cap
18,AXIS Bank Ltd.,INE238A01034,AXISBANK,"  363,130.14 ",AXISBANK,"  363,033.27 ",-, - ,"  363,081.70 ",Large Cap
19,UltraTech Cement Ltd,INE481G01011,ULTRACEMCO,"  358,018.85 ",ULTRACEMCO,"  358,045.48 ",-, - ,"  358,032.16 ",Large Cap
20,Bajaj Finserv Limited,INE918I01026,BAJAJFINSV,"  324,489.30 ",BAJAJFINSV,"  324,505.59 ",-, - ,"  324,497.45 ",Large Cap
21,Titan Company Limited,INE280A01028,TITAN,"  323,564.13 ",TITAN,"  323,613.06 ",-, - ,"  323,588.60 ",Large Cap
22,NTPC Limited,INE733E01010,NTPC,"  323,250.29 ",NTPC,"  323,233.75 ",-, - ,"  323,242.02 ",Large Cap
23,Hindustan Aeronautics Limited,INE066F01020,HAL,"  309,430.25 ",HAL,"  309,448.61 ",-, - ,"  309,439.43 ",Large Cap
24,Adani Ports and Special Economic Zone Ltd,INE742F01042,ADANIPORTS,"  308,622.99 ",ADANIPORTS,"  308,664.31 ",-, - ,"  308,643.65 ",Large Cap
25,Oil And Natural Gas Corporation Ltd,INE213A01029,ONGC,"  303,870.15 ",ONGC,"  303,876.34 ",-, - ,"  303,873.25 ",Large Cap
26,Eternal Limited,INE758T01015,ETERNAL,"  297,118.98 ",ETERNAL,"  297,138.51 ",-, - ,"  297,128.74 ",Large Cap
27,Bharat Electronics Ltd.,INE263A01024,BEL,"  293,001.17 ",BEL,"  293,011.61 ",-, - ,"  293,006.39 ",Large Cap
28,Adani Enterprises Ltd.,INE423A01024,ADANIENT,"  284,353.71 ",ADANIENT,"  279,044.81 ",-, - ,"  281,699.26 ",Large Cap
29,Avenue Supermarts Limited,INE192R01011,DMART,"  275,699.87 ",DMART,"  275,707.96 ",-, - ,"  275,703.92 ",Large Cap
30,JSW Steel Limited,INE019A01038,JSWSTEEL,"  270,427.03 ",JSWSTEEL,"  270,419.85 ",-, - ,"  270,423.44 ",Large Cap
31,Adani Power Limited,INE814H01029,ADANIPOWER,"  264,347.71 ",ADANIPOWER,"  264,360.10 ",-, - ,"  264,353.91 ",Large Cap
32,Wipro  Ltd.,INE075A01022,WIPRO,"  263,358.28 ",WIPRO,"  263,356.98 ",-, - ,"  263,357.63 ",Large Cap
33,POWER GRID CORPORATION OF INDIA LIMITED,INE752E01010,POWERGRID,"  262,670.09 ",POWERGRID,"  262,651.64 ",-, - ,"  262,660.86 ",Large Cap
34,Asian Paints Ltd.,INE021A01026,ASIANPAINT,"  246,424.12 ",ASIANPAINT,"  246,425.22 ",-, - ,"  246,424.67 ",Large Cap
35,Bajaj Auto Limited,INE917I01010,BAJAJ-AUTO,"  245,111.96 ",BAJAJ-AUTO,"  245,143.41 ",-, - ,"  245,127.69 ",Large Cap
36,Coal India Limited,INE522F01014,COALINDIA,"  237,343.05 ",COALINDIA,"  237,339.14 ",-, - ,"  237,341.10 ",Large Cap
37,Nestle India Ltd.,INE239A01024,NESTLEIND,"  233,639.46 ",NESTLEIND,"  233,662.03 ",-, - ,"  233,650.75 ",Large Cap
38,InterGlobe Aviation Limited,INE646L01027,INDIGO,"  219,754.62 ",INDIGO,"  219,787.15 ",-, - ,"  219,770.89 ",Large Cap
39,Indian Oil Corporation Ltd.,INE242A01010,IOC,"  216,854.59 ",IOC,"  216,884.51 ",-, - ,"  216,869.55 ",Large Cap
40,TATA STEEL LIMITED,INE081A01020,TATASTEEL,"  209,335.94 ",TATASTEEL,"  209,360.74 ",-, - ,"  209,348.34 ",Large Cap
41,Hindustan Zinc Ltd.,INE267A01025,HINDZINC,"  200,291.02 ",HINDZINC,"  200,313.15 ",-, - ,"  200,302.09 ",Large Cap
42,Jio Financial Services Limited,INE758E01017,JIOFIN,"  197,591.78 ",JIOFIN,"  197,608.17 ",-, - ,"  197,599.97 ",Large Cap
43,HYUNDAI MOTOR INDIA LIMITED,INE0V6F01027,HYUNDAI,"  190,810.38 ",HYUNDAI,"  190,815.28 ",-, - ,"  190,812.83 ",Large Cap
44,Grasim Industries Ltd,INE047A01021,GRASIM,"  190,057.04 ",GRASIM,"  190,074.68 ",-, - ,"  190,065.86 ",Large Cap
45,SBI Life Insurance Company Limited,INE123W01016,SBILIFE,"  189,233.49 ",SBILIFE,"  189,234.15 ",-, - ,"  189,233.82 ",Large Cap
46,Vedanta Limited,INE205A01025,VEDL,"  188,331.12 ",VEDL,"  188,351.60 ",-, - ,"  188,341.36 ",Large Cap
47,DLF LIMITED,INE271C01023,DLF,"  187,698.27 ",DLF,"  187,715.12 ",-, - ,"  187,706.70 ",Large Cap
48,Eicher Motors Ltd.,INE066A01021,EICHERMOT,"  179,560.40 ",EICHERMOT,"  179,584.54 ",-, - ,"  179,572.47 ",Large Cap
49,Trent Ltd [Lakme Ltd],INE849A01020,TRENT,"  173,112.36 ",TRENT,"  173,133.76 ",-, - ,"  173,123.06 ",Large Cap
50,Hindalco Industries Ltd.,INE038A01020,HINDALCO,"  170,768.88 ",HINDALCO,"  170,787.34 ",-, - ,"  170,778.11 ",Large Cap
51,Divi's Laboratories Ltd.,INE361B01024,DIVISLAB,"  169,468.93 ",DIVISLAB,"  169,472.19 ",-, - ,"  169,470.56 ",Large Cap
52,HDFC LIFE INSURANCE COMPANY LIMITED,INE795G01014,HDFCLIFE,"  164,675.65 ",HDFCLIFE,"  164,620.82 ",-, - ,"  164,648.24 ",Large Cap
53,LTIMindtree Limited,INE214T01019,LTIM,"  163,646.75 ",LTIM,"  163,636.65 ",-, - ,"  163,641.70 ",Large Cap
54,Indian Railway Finance Corporation,INE053F01010,IRFC,"  163,095.99 ",IRFC,"  163,104.08 ",-, - ,"  163,100.04 ",Large Cap
55,Adani Green Energy Limited,INE364U01010,ADANIGREEN,"  163,194.78 ",ADANIGREEN,"  162,844.92 ",-, - ,"  163,019.85 ",Large Cap
56,Varun Beverages Limited,INE200M01039,VBL,"  160,499.84 ",VBL,"  160,506.28 ",-, - ,"  160,503.06 ",Large Cap
57,TVS Motor Company Ltd.,INE494B01023,TVSMOTOR,"  158,852.14 ",TVSMOTOR,"  158,857.10 ",-, - ,"  158,854.62 ",Large Cap
58,Pidilite Industries Ltd.,INE318A01026,PIDILITIND,"  152,292.46 ",PIDILITIND,"  152,306.18 ",-, - ,"  152,299.32 ",Large Cap
59,Bharat Petroleum Corpn. Ltd.,INE029A01011,BPCL,"  148,424.54 ",BPCL,"  148,449.37 ",-, - ,"  148,436.95 ",Large Cap
60,Tech Mahindra Limited,INE669C01036,TECHM,"  147,723.94 ",TECHM,"  147,707.03 ",-, - ,"  147,715.49 ",Large Cap
61,Bajaj Holdings & Investment Limited,INE118A01012,BAJAJHLDNG,"  141,510.23 ",BAJAJHLDNG,"  141,544.23 ",-, - ,"  141,527.23 ",Large Cap
62,Britannia Industries Ltd.,INE216A01030,BRITANNIA,"  141,269.72 ",BRITANNIA,"  141,277.57 ",-, - ,"  141,273.65 ",Large Cap
63,Ambuja Cements Ltd.,INE079A01024,AMBUJACEM,"  140,891.14 ",AMBUJACEM,"  140,858.10 ",-, - ,"  140,874.62 ",Large Cap
64,Tata Capital Limited,INE976I01016,TATACAP,"  138,787.15 ",TATACAP,"  138,783.29 ",-, - ,"  138,785.22 ",Large Cap
65,TATA MOTORS PASSENGER VEHICLES LIMITED,INE155A01022,TMPV,"  138,377.24 ",TMPV,"  138,382.08 ",-, - ,"  138,379.66 ",Large Cap
66,Bank Of Baroda,INE028A01039,BANKBARODA,"  135,270.73 ",BANKBARODA,"  135,283.90 ",-, - ,"  135,277.31 ",Large Cap
67,Cholamandalam Investment and Finance Company Ltd,INE121A01024,CHOLAFIN,"  134,986.51 ",CHOLAFIN,"  134,895.46 ",-, - ,"  134,940.99 ",Large Cap
68,Shriram Finance Limited,INE721A01047,SHRIRAMFIN,"  134,243.22 ",SHRIRAMFIN,"  134,229.53 ",-, - ,"  134,236.38 ",Large Cap
69,Tata Motors Limited,INE1TAE01010,TMCV,"  133,977.94 ",TMCV,"  133,946.91 ",-, - ,"  133,962.43 ",Large Cap
70,Punjab National Bank,INE160A01022,PNB,"  130,928.80 ",PNB,"  130,939.29 ",-, - ,"  130,934.04 ",Large Cap
71,ICICI Prudential Asset Management Company Limited,INE346A01027,ICICIAMC,"  129,961.88 ",ICICIAMC,"  129,972.07 ",-, - ,"  129,966.98 ",Large Cap
72,Power Finance Corporation Ltd,INE134E01011,PFC,"  129,277.43 ",PFC,"  129,271.27 ",-, - ,"  129,274.35 ",Large Cap
73,Solar Industries India Limited,INE343H01029,SOLARINDS,"  127,236.78 ",SOLARINDS,"  127,241.23 ",-, - ,"  127,239.01 ",Large Cap
74,MUTHOOT FINANCE LIMITED,INE414G01012,MUTHOOTFIN,"  125,431.07 ",MUTHOOTFIN,"  125,444.22 ",-, - ,"  125,437.65 ",Large Cap
75,Tata Power Co. Ltd,INE245A01021,TATAPOWER,"  124,846.99 ",TATAPOWER,"  124,860.56 ",-, - ,"  124,853.77 ",Large Cap
76,Cipla Ltd.,INE059A01026,CIPLA,"  123,546.65 ",CIPLA,"  123,553.81 ",-, - ,"  123,550.23 ",Large Cap
77,Torrent Pharmaceuticals Ltd.,INE685A01028,TORNTPHARM,"  122,668.10 ",TORNTPHARM,"  122,688.08 ",-, - ,"  122,678.09 ",Large Cap
78,Godrej Consumer Products Ltd.,INE102D01028,GODREJCP,"  121,715.49 ",GODREJCP,"  121,701.32 ",-, - ,"  121,708.41 ",Large Cap
79,Lodha Developers Limited,INE670K01029,LODHA,"  120,421.65 ",LODHA,"  120,401.05 ",-, - ,"  120,411.35 ",Large Cap
80,HDFC Asset Management Company Limited,INE127D01025,HDFCAMC,"  117,500.29 ",HDFCAMC,"  117,480.14 ",-, - ,"  117,490.21 ",Large Cap
81,Gail (India) Ltd.,INE129A01019,GAIL,"  117,132.53 ",GAIL,"  117,138.27 ",-, - ,"  117,135.40 ",Large Cap
82,Canara Bank,INE476A01022,CANBK,"  114,295.61 ",CANBK,"  114,315.04 ",-, - ,"  114,305.32 ",Large Cap
83,Max Healthcare Institute Limited,INE027H01010,MAXHEALTH,"  113,898.16 ",MAXHEALTH,"  113,887.31 ",-, - ,"  113,892.74 ",Large Cap
84,Siemens Energy India Limited,INE1NPP01017,ENRIN,"  112,972.26 ",ENRIN,"  112,966.29 ",-, - ,"  112,969.27 ",Large Cap
85,Siemens Ltd.,INE003A01024,SIEMENS,"  112,489.54 ",SIEMENS,"  112,488.49 ",-, - ,"  112,489.01 ",Large Cap
86,Mazagon Dock Shipbuilders Limited,INE249Z01020,MAZDOCK,"  112,305.49 ",MAZDOCK,"  112,306.27 ",-, - ,"  112,305.88 ",Large Cap
87,Bosch Ltd,INE323A01026,BOSCHLTD,"  112,075.27 ",BOSCHLTD,"  112,069.75 ",-, - ,"  112,072.51 ",Large Cap
88,ABB India Limited,INE117A01022,ABB,"  111,551.92 ",ABB,"  111,557.90 ",-, - ,"  111,554.91 ",Large Cap
89,Samvardhana Motherson International Limited,INE775A01035,MOTHERSON,"  111,481.18 ",MOTHERSON,"  111,482.98 ",-, - ,"  111,482.08 ",Large Cap
90,Cummins India Ltd.,INE298A01020,CUMMINSIND,"  111,413.27 ",CUMMINSIND,"  111,430.11 ",-, - ,"  111,421.69 ",Large Cap
91,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,TATACONSUM,"  111,179.84 ",TATACONSUM,"  111,203.77 ",-, - ,"  111,191.80 ",Large Cap
92,CG Power and Industrial Solutions Limited,INE067A01029,CGPOWER,"  110,919.33 ",CGPOWER,"  109,459.40 ",-, - ,"  110,189.37 ",Large Cap
93,LG Electronics India Limited,INE324D01010,LGEINDIA,"  109,777.98 ",LGEINDIA,"  109,776.22 ",-, - ,"  109,777.10 ",Large Cap
94,Polycab India Limited,INE455K01017,POLYCAB,"  109,480.30 ",POLYCAB,"  109,467.88 ",-, - ,"  109,474.09 ",Large Cap
95,Union Bank of India,INE692A01016,UNIONBANK,"  108,930.04 ",UNIONBANK,"  108,951.30 ",-, - ,"  108,940.67 ",Large Cap
96,Adani Energy Solutions Limited,INE931S01010,ADANIENSOL,"  108,350.36 ",ADANIENSOL,"  108,357.17 ",-, - ,"  108,353.76 ",Large Cap
97,Apollo Hospitals Enterprises Ltd.,INE437A01024,APOLLOHOSP,"  107,947.81 ",APOLLOHOSP,"  107,953.35 ",-, - ,"  107,950.58 ",Large Cap
98,Indian Hotels Co. Ltd,INE053A01029,INDHOTEL,"  105,952.22 ",INDHOTEL,"  105,954.19 ",-, - ,"  105,953.21 ",Large Cap
99,Hero MotoCorp Limited,INE158A01026,HEROMOTOCO,"  105,539.37 ",HEROMOTOCO,"  105,543.51 ",-, - ,"  105,541.44 ",Large Cap
100,Dr. Reddy's Laboratories Ltd.,INE089A01031,DRREDDY,"  105,177.44 ",DRREDDY,"  105,170.30 ",-, - ,"  105,173.87 ",Large Cap
101,Shree Cements Ltd.,INE070A01015,SHREECEM,"  104,508.85 ",SHREECEM,"  104,522.78 ",-, - ,"  104,515.81 ",Mid Cap
102,JINDAL STEEL LIMITED,INE749A01030,JINDALSTEL,"  103,391.88 ",JINDALSTEL,"  103,413.66 ",-, - ,"  103,402.77 ",Mid Cap
103,IDBI Bank Ltd,INE008A01015,IDBI,"  102,939.06 ",IDBI,"  102,939.49 ",-, - ,"  102,939.27 ",Mid Cap
104,SWIGGY LIMITED,INE00H001014,SWIGGY ,"  103,022.26 ",SWIGGY,"  102,180.65 ",-, - ,"  102,601.46 ",Mid Cap
105,BSE Ltd.,INE118H01025,-, - ,BSE,"  101,299.27 ",-, - ,"  101,299.27 ",Mid Cap
106,Mankind Pharma Limited,INE634S01028,MANKIND,"  99,913.07 ",MANKIND,"  99,923.49 ",-, - ,"  99,918.28 ",Mid Cap
107,Indian Bank,INE562A01011,INDIANB,"  99,682.66 ",INDIANB,"  99,686.08 ",-, - ,"  99,684.37 ",Mid Cap
108,INDUS TOWERS LIMITED,INE121J01017,INDUSTOWER,"  99,636.18 ",INDUSTOWER,"  99,639.12 ",-, - ,"  99,637.65 ",Mid Cap
109,United Spirits Limited,INE854D01024,UNITDSPR,"  99,542.73 ",UNITDSPR,"  99,548.53 ",-, - ,"  99,545.63 ",Mid Cap
110,GMR Airports Limited,INE776C01039,GMRAIRPORT,"  98,984.11 ",GMRAIRPORT,"  98,997.44 ",-, - ,"  98,990.78 ",Mid Cap
111,REC LIMITED,INE020B01018,RECLTD,"  98,216.75 ",RECLTD,"  98,212.67 ",-, - ,"  98,214.71 ",Mid Cap
112,Zydus Lifesciences Limited,INE010B01027,ZYDUSLIFE,"  97,833.34 ",ZYDUSLIFE,"  97,840.48 ",-, - ,"  97,836.91 ",Mid Cap
113,ICICI Lombard General Insurance Company Limited ,INE765G01017,ICICIGI,"  96,784.33 ",ICICIGI,"  96,700.86 ",-, - ,"  96,742.59 ",Mid Cap
114,Billionbrains Garage Ventures Limited,INE0HOQ01053,GROWW,"  95,901.88 ",GROWW,"  95,890.42 ",-, - ,"  95,896.15 ",Mid Cap
115,Dixon Technologies (India) Limited,INE935N01020,DIXON,"  95,876.49 ",DIXON,"  95,826.20 ",-, - ,"  95,851.34 ",Mid Cap
116,VODAFONE IDEA LIMITED,INE669E01016,IDEA,"  94,047.77 ",IDEA,"  93,992.74 ",-, - ,"  94,020.26 ",Mid Cap
117,Havells India Limited,INE176B01034,HAVELLS,"  93,918.19 ",HAVELLS,"  93,920.58 ",-, - ,"  93,919.39 ",Mid Cap
118,Marico Limited,INE196A01026,MARICO,"  93,869.34 ",MARICO,"  93,828.48 ",-, - ,"  93,848.91 ",Mid Cap
119,Hindustan Petroleum Corporation Ltd,INE094A01015,HINDPETRO,"  93,187.56 ",HINDPETRO,"  93,198.71 ",-, - ,"  93,193.14 ",Mid Cap
120,Waaree Energies Limited,INE377N01017,WAAREEENER,"  92,834.51 ",WAAREEENER,"  92,778.22 ",-, - ,"  92,806.37 ",Mid Cap
121,Bajaj Housing Finance Limited,INE377Y01014,BAJAJHFL,"  91,541.61 ",BAJAJHFL,"  91,537.71 ",-, - ,"  91,539.66 ",Mid Cap
122,Dabur India Ltd.,INE016A01026,DABUR,"  90,962.01 ",DABUR,"  90,966.52 ",-, - ,"  90,964.26 ",Mid Cap
123,Lupin Ltd,INE326A01037,LUPIN,"  90,702.50 ",LUPIN,"  90,701.52 ",-, - ,"  90,702.01 ",Mid Cap
124,JSW Energy Limited,INE121E01018,JSWENERGY,"  90,092.40 ",JSWENERGY,"  90,095.94 ",-, - ,"  90,094.17 ",Mid Cap
125,ICICI Prudential Life Insurance Company Limited,INE726G01019,ICICIPRULI,"  89,707.08 ",ICICIPRULI,"  89,685.83 ",-, - ,"  89,696.46 ",Mid Cap
126,Persistent Systems Limited,INE262H01021,PERSISTENT,"  89,266.68 ",PERSISTENT,"  89,034.17 ",-, - ,"  89,150.43 ",Mid Cap
127,Bharti Hexacom Limited,INE343G01021,BHARTIHEXA,"  88,892.40 ",BHARTIHEXA,"  88,887.90 ",-, - ,"  88,890.15 ",Mid Cap
128,Info Edge(India) Ltd.,INE663F01032,NAUKRI,"  88,707.76 ",NAUKRI,"  88,709.24 ",-, - ,"  88,708.50 ",Mid Cap
129,SRF Ltd.,INE647A01010,SRF,"  88,539.71 ",SRF,"  88,555.48 ",-, - ,"  88,547.59 ",Mid Cap
130,Bharat Heavy Electricals Ltd.,INE257A01026,BHEL,"  87,271.84 ",BHEL,"  87,278.80 ",-, - ,"  87,275.32 ",Mid Cap
131,HITACHI ENERGY INDIA LIMITED,INE07Y701011,POWERINDIA,"  86,858.01 ",POWERINDIA,"  86,853.67 ",-, - ,"  86,855.84 ",Mid Cap
132,Meesho Limited,INE0VDM01015,MEESHO,"  86,452.03 ",MEESHO,"  86,428.26 ",-, - ,"  86,440.15 ",Mid Cap
133,NTPC GREEN ENERGY LIMITED,INE0ONG01011,NTPCGREEN,"  84,832.94 ",NTPCGREEN,"  84,831.07 ",-, - ,"  84,832.01 ",Mid Cap
134,NHPC Limited,INE848E01016,NHPC,"  83,001.88 ",NHPC,"  83,007.07 ",-, - ,"  83,004.47 ",Mid Cap
135,PB Fintech Limited,INE417T01026,POLICYBZR,"  83,049.35 ",POLICYBZR,"  82,915.54 ",-, - ,"  82,982.45 ",Mid Cap
136,SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,SBICARD,"  82,604.93 ",SBICARD,"  82,608.72 ",-, - ,"  82,606.82 ",Mid Cap
137,Ashok Leyland Ltd.,INE208A01029,ASHOKLEY,"  82,078.91 ",ASHOKLEY,"  82,093.21 ",-, - ,"  82,086.06 ",Mid Cap
138,SUZLON ENERGY LTD.,INE040H01021,SUZLON,"  79,526.98 ",SUZLON,"  79,491.63 ",-, - ,"  79,509.30 ",Mid Cap
139,Aditya Birla Capital Ltd,INE674K01013,ABCAPITAL,"  79,362.02 ",ABCAPITAL,"  79,334.16 ",-, - ,"  79,348.09 ",Mid Cap
140,One 97 Communications Limited,INE982J01020,PAYTM,"  76,908.32 ",PAYTM,"  76,862.92 ",-, - ,"  76,885.62 ",Mid Cap
141,Indian Overseas Bank,INE565A01014,IOB,"  74,120.30 ",IOB,"  74,113.11 ",-, - ,"  74,116.70 ",Mid Cap
142,Oracle Financial Services Software Limited,INE881D01027,OFSS,"  74,085.04 ",OFSS,"  74,059.83 ",-, - ,"  74,072.43 ",Mid Cap
143,Lenskart Solutions Limited,INE956O01016,LENSKART,"  73,287.72 ",LENSKART,"  73,312.57 ",-, - ,"  73,300.14 ",Mid Cap
144,GE Vernova T&D India Limited,INE200A01026,GVTD,"  72,679.42 ",GVT&D,"  72,684.76 ",-, - ,"  72,682.09 ",Mid Cap
145,Rail Vikas Nigam Limited,INE415G01027,RVNL,"  70,914.02 ",RVNL,"  70,911.04 ",-, - ,"  70,912.53 ",Mid Cap
146,Prestige Estates Projects Limited,INE811K01011,PRESTIGE,"  70,851.82 ",PRESTIGE,"  70,859.12 ",-, - ,"  70,855.47 ",Mid Cap
147,Lloyds Metals and Energy Limited,INE281B01032,LLOYDSME,"  70,818.96 ",LLOYDSME,"  70,799.22 ",-, - ,"  70,809.09 ",Mid Cap
148,UNO Minda Limited,INE405E01023,UNOMINDA,"  70,476.50 ",UNOMINDA,"  70,413.15 ",-, - ,"  70,444.82 ",Mid Cap
149,Fortis Healthcare Ltd,INE061F01013,FORTIS,"  70,000.68 ",FORTIS,"  69,998.43 ",-, - ,"  69,999.55 ",Mid Cap
150,FSN E-Commerce Ventures Limited,INE388Y01029,NYKAA,"  68,636.17 ",NYKAA,"  68,606.35 ",-, - ,"  68,621.26 ",Mid Cap
151,Oil India Limited,INE274J01014,OIL,"  68,181.46 ",OIL,"  68,182.36 ",-, - ,"  68,181.91 ",Mid Cap
152,ADANI TOTAL GAS LIMITED,INE399L01023,ATGL,"  67,979.87 ",ATGL,"  67,970.27 ",-, - ,"  67,975.07 ",Mid Cap
153,Coromandel International Limited,INE169A01031,COROMANDEL,"  67,915.15 ",COROMANDEL,"  67,892.55 ",-, - ,"  67,903.85 ",Mid Cap
154,General Insurance Corporation of India,INE481Y01014,GICRE,"  66,431.89 ",GICRE,"  66,432.65 ",-, - ,"  66,432.27 ",Mid Cap
155,Yes Bank Ltd.,INE528G01035,YESBANK,"  66,365.05 ",YESBANK,"  66,347.81 ",-, - ,"  66,356.43 ",Mid Cap
156,Vishal Mega Mart Limited,INE01EA01019,VMM,"  66,115.14 ",VMM,"  66,089.66 ",-, - ,"  66,102.40 ",Mid Cap
157,Abbott India Ltd.,INE358A01014,ABBOTINDIA,"  65,871.14 ",-, - ,-, - ,"  65,871.14 ",Mid Cap
158,TORRENT POWER LIMITED,INE813H01021,TORNTPOWER,"  65,811.80 ",TORNTPOWER,"  65,821.40 ",-, - ,"  65,816.60 ",Mid Cap
159,Aurobindo Pharma Ltd.,INE406A01037,AUROPHARMA,"  65,677.44 ",AUROPHARMA,"  65,683.64 ",-, - ,"  65,680.54 ",Mid Cap
160,NMDC Ltd,INE584A01023,NMDC,"  65,186.37 ",NMDC,"  65,185.61 ",-, - ,"  65,185.99 ",Mid Cap
161,Alkem Laboratories Limited,INE540L01014,ALKEM,"  64,336.27 ",ALKEM,"  64,347.50 ",-, - ,"  64,341.89 ",Mid Cap
162,Berger Paints India Ltd,INE463A01038,BERGEPAINT,"  64,186.04 ",BERGEPAINT,"  64,192.79 ",-, - ,"  64,189.42 ",Mid Cap
163,M.R.F. Ltd.,INE883A01011,MRF,"  64,072.74 ",MRF,"  64,074.43 ",-, - ,"  64,073.59 ",Mid Cap
164,Patanjali Foods Limited,INE619A01035,PATANJALI,"  63,746.91 ",PATANJALI,"  63,679.35 ",-, - ,"  63,713.13 ",Mid Cap
165,Godrej Properties Limited,INE484J01027,GODREJPROP,"  63,667.84 ",GODREJPROP,"  63,668.98 ",-, - ,"  63,668.41 ",Mid Cap
166,HDB FINANCIAL SERVICES LIMITED,INE756I01012,HDBFS,"  63,476.76 ",HDBFS,"  63,482.33 ",-, - ,"  63,479.55 ",Mid Cap
167,L&T Finance Limited,INE498L01015,LTF,"  63,084.07 ",LTF,"  63,048.52 ",-, - ,"  63,066.29 ",Mid Cap
168,JSW Infrastructure Limited,INE880J01026,JSWINFRA,"  62,718.71 ",JSWINFRA,"  62,722.96 ",-, - ,"  62,720.84 ",Mid Cap
169,Schaeffler India Limited,INE513A01022,SCHAEFFLER,"  62,598.42 ",SCHAEFFLER,"  62,603.85 ",-, - ,"  62,601.14 ",Mid Cap
170,IndusInd Bank Ltd.,INE095A01012,INDUSINDBK,"  62,528.05 ",INDUSINDBK,"  62,528.80 ",-, - ,"  62,528.43 ",Mid Cap
171,Jindal Stainless Limited,INE220G01021,JSL,"  61,867.59 ",JSL,"  61,849.28 ",-, - ,"  61,858.44 ",Mid Cap
172,AU Small Finance Bank Limited,INE949L01017,AUBANK,"  61,420.12 ",AUBANK,"  61,378.71 ",-, - ,"  61,399.42 ",Mid Cap
173,Colgate-Palmolive (India) Ltd.,INE259A01022,COLPAL,"  61,273.12 ",COLPAL,"  61,274.56 ",-, - ,"  61,273.84 ",Mid Cap
174,OBEROI REALTY LIMITED,INE093I01010,OBEROIRLTY,"  61,134.68 ",OBEROIRLTY,"  61,138.39 ",-, - ,"  61,136.53 ",Mid Cap
175,Bharat Forge Ltd,INE465A01025,BHARATFORG,"  61,062.14 ",BHARATFORG,"  61,069.83 ",-, - ,"  61,065.99 ",Mid Cap
176,Fertilizers and Chemicals Travancore Limited,INE188A01015,FACT,"  59,603.70 ",FACT,"  59,608.27 ",-, - ,"  59,605.98 ",Mid Cap
177,COFORGE LIMITED,INE591G01025,COFORGE,"  59,323.62 ",COFORGE,"  59,303.37 ",-, - ,"  59,313.49 ",Mid Cap
